Gene Symbol	ID	Gene Title	RefSeq
Aurkb	33266_at	aurora kinase B	NM_004217
Cldn8	33611_g_at	claudin 8	NM_199328
Npy	38604_at	neuropeptide Y	NM_000905
Atp7b	37930_at	ATPase, Cu++ transporting, beta polypeptide	NM_000053 /// NM_001005918
Chaf1b	36912_at	chromatin assembly factor 1, subunit B (p60)	NM_005441
Scrn1	36192_at	secernin 1	NM_014766
Ccna2	40697_at	cyclin A2	NM_001237
Ccnb1	34736_at	cyclin B1	NM_031966
Kif11	40726_at	kinesin family member 11	NM_004523
Plk1	37228_at	polo-like kinase 1 (Drosophila)	NM_005030
Chek1	38920_at	CHK1 checkpoint homolog (S. pombe)	NM_001114121 /// NM_001114122 /// NM_001274
Mphosph6	31864_at	M-phase phosphoprotein 6	NM_005792
Nrp1	36836_at	neuropilin 1	NM_001024628 /// NM_001024629 /// NM_003873
Cd74	35016_at	CD74 molecule, major histocompatibility complex, class II invariant chain	NM_001025158 /// NM_001025159 /// NM_004355
C1qb	38796_at	complement component 1, q subcomponent, B chain	NM_000491
Cd72	37479_at	CD72 molecule	NM_001782
Vcam1	583_s_at	vascular cell adhesion molecule 1	NM_001078 /// NM_080682
Itgb2	37918_at	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NM_000211 /// NM_001127491
Cd180	40715_at	CD180 molecule	NM_005582
Coro1a	38976_at	coronin, actin binding protein, 1A	NM_007074
Ccl5	1405_i_at	chemokine (C-C motif) ligand 5	NM_002985
Cd3e	36277_at	CD3e molecule, epsilon (CD3-TCR complex)	NM_000733
Hcls1	31820_at	hematopoietic cell-specific Lyn substrate 1	NM_005335
Vav1	34481_at	vav 1 guanine nucleotide exchange factor	NM_005428
Plek	37328_at	pleckstrin	NM_002664
Arhgdib	1984_s_at	Rho GDP dissociation inhibitor (GDI) beta	NM_001175
Il2rg	1506_at	interleukin 2 receptor, gamma (severe combined immunodeficiency)	NM_000206
Sash3	40296_at	SAM and SH3 domain containing 3	NM_018990
Lck	33238_at	lymphocyte-specific protein tyrosine kinase	NM_001042771 /// NM_005356
Il2rb	1365_at	interleukin 2 receptor, beta	NM_000878
Cybb	37975_at	cytochrome b-245, beta polypeptide	NM_000397
Cd79b	37988_at	CD79b molecule, immunoglobulin-associated beta	NM_000626 /// NM_001039933 /// NM_021602
Sell	245_at	selectin L	NM_000655
Ccnd2	36650_at	cyclin D2	NM_001759
Tnfrsf1b	33813_at	tumor necrosis factor receptor superfamily, member 1B	NM_001066
Rftn1	32593_at	raftlin, lipid raft linker 1	NM_015150
Rac2	32737_at	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	NM_002872
Ly86	35869_at	lymphocyte antigen 86	NM_004271
Ccr2	39937_at	chemokine (C-C motif) receptor 2	NM_000647 /// NM_000648
St8sia4	33649_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	NM_005668 /// NM_175052
