MicroRNA	CAH vs Control	EEC vs CAH	EEC vs Control
hsa-miR-100	21.6	2.34E+01	25.5
hsa-miR-10b	2.2	2.50E+01	22.3
hsa-miR-127-3p	2.24E+01	2.18E+01	24.5
hsa-miR-152	22.1	2.22E+01	24.6
hsa-miR-199b-3p	22.1	2.24E+01	25
hsa-miR-199b-5p	22.3	2.32E+01	27.4
hsa-miR-23a	21.8	2.22E+01	24.1
hsa-miR-370	1.4	2.44E+01	23.2
hsa-miR-376a	22.4	2.28E+01	26.6
hsa-miR-376c	22.1	2.45E+01	29.6
hsa-miR-381	22.1	2.20E+01	24.2
hsa-miR-410	22.4	2.17E+01	24.2
hsa-miR-424	24.1	2.26E+01	210.7
hsa-miR-424	21.2	24	24.9
hsa-miR-431	2.2	24.3	21.9
hsa-miR-432	21.9	22.4	24.6
hsa-miR-503	28.6	23.2	227.3
hsa-miR-542-3p	23.2	22.1	26.9
hsa-miR-542-5p	22	23.1	26.1
hsa-miR-596	2.2	24.4	22
hsa-miR-610	1.9	25.1	22.7
hsa-miR-630	2	25.2	22.6
hsa-miR-632	1.9	26.6	23.4
hsa-miR-760	1.2	25.4	24.5
