miRNA	Log2 (U251/U251-AKT siRNA)
hsa-mir-20b	1.02
hsa-mir-454	1.16
hsa-mir-196a	1.24
hsa-mir-768	1.35
hsa-mir-155	1.82
hsa-mir-374b	1.96
hsa-mir-98	1.98
hsa-mir-218	2.15
hsa-mir-1224	2.16
hsa-mir-671	2.21
hsa-mir-483	2.34
hsa-mir-335	2.61
hsa-mir-939	2.62
hsa-mir-923	3.03
hsa-mir-638	3.04
hsa-mir-575	3.17
hsa-mir-574	3.29
hsa-mir-572	4.13
hsa-mir-654	4.34
hsa-mir-663	4.4
