Curated miRBas	FC (NEVUS60/MEL60)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-7	0.3368	-1.5701	0.0014	0.1379	FC 2.0-4.0	hsa-miR-7-4378130
hsa-miR-223	0.0939	-3.413	0.0045	0.1753	FC > 4	hsa-miR-223STAR-4395209
hsa-miR-566	8.3006	3.0532	0.0054	0.1753	FC > 4	hsa-miR-566-4380943
hsa-miR-409	0.1789	-2.4824	0.016	0.2391	FC > 4	hsa-miR-409-3p-4395443
hsa-miR-632	1.7186	0.7812	0.0168	0.2391	FC 1.6-2.0	hsa-miR-632-4380977
hsa-miR-650	0.1692	-2.5635	0.0173	0.2391	FC > 4	hsa-miR-650-4381006
hsa-miR-181a	1.7991	0.8473	0.0225	0.2391	FC 1.6-2.0	hsa-miR-181a-2STAR-4395428
hsa-miR-432	0.0997	-3.3257	0.0233	0.2391	FC > 4	hsa-miR-432-4373280
hsa-miR-571	0.303	-1.7224	0.0237	0.2391	FC 2.0-4.0	hsa-miR-571-4381016
hsa-miR-193b	3.728	1.8984	0.0281	0.2391	FC 2.0-4.0	hsa-miR-193bSTAR-4395477
hsa-miR-604	0.4573	-1.1288	0.0288	0.2391	FC 2.0-4.0	hsa-miR-604-4380973
hsa-miR-513	3.2062	1.6809	0.0293	0.2391	FC 2.0-4.0	hsa-miR-513-3p-4395202
hsa-miR-22	0.1556	-2.6844	0.0347	0.2495	FC > 4	hsa-miR-22STAR-4395412
hsa-miR-801	0.1982	-2.335	0.0356	0.2495	FC > 4	hsa-miR-801-4395183
hsa-miR-20a	2.532	1.3403	0.0465	0.304	FC 2.0-4.0	hsa-miR-20aSTAR-4395548
