Mouse miRNAs	Ct Values of Dicer-KO-1	Ct Values of Dicer-KO-2	Ct Values of Dicer-KO-3	Ct Values of GV-Oocyte-1	Ct Values of GV-Oocyte-2	Ct Values of GV-Oocyte-3	Ct Values of Oocyte-1	Ct Values of Oocyte-2	Ct Values of Oocyte-3	Ct Values of Ago2-KO-1	Ct Values of Ago2-KO-2
hsa-let-7a	28.81	2.75E+01	2.59E+01	21.82	21.61	22.45	21.13	20.67	20.14	40	26.785
hsa-let-7b	28.28	2.77E+01	24.48	21.56	21.2	22.27	22.1	22.29	21.2	30.88	26.32
hsa-let-7c	28.49	2.76E+01	24.64	21.41	21.13	22.27	21.97	21.95	20.94	30.91	26.595
hsa-let-7d	29.35	2.84E+01	26.85	22.7	22.02	22.79	21.9	21.64	21.03	31.38	27.99
hsa-let-7d	28.71	2.91E+01	27.13	24.93	24.81	25.55	24.46	24.42	23.84	30.535	28.17
hsa-let-7e	28.11	2.75E+01	25.49	20.86	20.8	21.78	20.61	20.61	20.05	29.52	26.27
hsa-let-7f	29.15	2.82E+01	26.29	22.48	22.11	22.91	21.46	21.22	20.52	28.67	27.105
hsa-let-7g	28.89	2.88E+01	26.07	23.09	22.47	23.32	21.79	22.15	21.27	32.14	28.255
hsa-let-7i	35.69	3.18E+01	32.24	33.82	33.92	35.13	24.51	24.53	24.19	40	37.985
hsa-miR-1	40	4.00E+01	40	40	40	40	34.69	30.66	40	40	40
hsa-miR-100	34.6	3.00E+01	31.36	27.29	27.2	27.7	26.22	26.4	26.41	40	40
hsa-miR-101a	40	4.00E+01	40	40	40	35.17	32.87	32.73	40	40	40
hsa-miR-101b	40	4.00E+01	40	40	40	33.03	31.95	31.48	40	40	40
hsa-miR-103	27.94	2.74E+01	28.46	24.04	24.1	24.44	22.27	22.27	21.95	31.55	29.15
hsa-miR-106a	26.72	2.59E+01	26.23	22.24	22.27	22.57	21.41	21.28	20.82	29.63	26.3
hsa-miR-106b	30.89	2.93E+01	30.06	29.01	28.41	29.05	24.65	24.56	24.38	40	31.525
hsa-miR-107	31	3.00E+01	30.47	26.97	27.05	27.26	24.86	25.03	24.9	40	33.1
hsa-miR-10a	35.9	3.14E+01	30.78	29.18	29.1	29.64	26.71	27.62	27.49	40	19.59
hsa-miR-10b	40	4.00E+01	31.39	40	40	37.85	40	40	40	40	40
hsa-miR-122a	40	4.00E+01	40	40	40	40	40	39.94	36.63	40	40
hsa-miR-124a	40	4.00E+01	40	40	36.43	40	28.09	28.98	28.11	40	40
hsa-miR-125a	40	4.00E+01	30.95	29.15	28.02	30.28	30.54	31.27	28.5	40	40
hsa-miR-125b	39.37	3.52E+01	33.1	30.13	29.32	30.23	30.48	30.03	29.57	40	34.365
hsa-miR-126-3p	40	3.42E+01	40	33.31	31.24	33.14	40	31.8	30.24	40	34.575
hsa-miR-126-5p	40	4.00E+01	40	40	40	40	40	40	29.99	40	40
