Curated Gene Symbol	Gene name	Gene symbol	Fold change	P
CXCL10	Chemokinea ligand 10	CXCL10	8.3	0.007
CD59	CD59 moleculeb	CD59	3.4	0.018
CLEC4E	C-type lectin	CLEC4E	2.5	0.025
	Fc fragment of IgGc	FcGP1A	16.39	0.001
GBP1	Guanylate-binding protein 1d	GBP1	20	0.004
IFI27	IFN-–inducible protein 27	IFI27	50	0.018
IFI44	IFN-inducible protein 44	IFI44	3.48	0.02
IFIH1	mda5	IFIH1	10.98	0.023
IFIT1	IFN-induced protein with repeatse	IFIT1	20	0.01
ISG15	ISG15 ubiquitin-like modifier	ISG15	5.6	0.035
MX1	Myxovirus resistance 1f	MX1	5.29	0.029
SECTM1	Secreted transmembrane 1	SECTM1	3.33	0.024
SERPING1	Serine protease inhibitorg	SERPING1	27.02	0.008
TNFRSF17	TNF receptorh	TNFRSF17	8.92	0.005
XBP1	X-box binding protein 1	XBP1	3.92	0.005
CTSL1	Cathepsin L	CTSL	6.71	0.003
LY6E	Lymphocyte antigen 6 complex	LY6E	10.52	0.022
