Gene name	Gene symbol	Probe set	Fold change
Homeobox B7	HOXB7	204778_x_at	4.27
Fibroblast growth factor receptor 3	FGFR3	204379_s_at	31.38
Chemokine (C-C motif) ligand 5	CCL5	1405_i_at	6.71
Platelet-derived growth factor alpha polypeptide	PDGFA	205463_s_at	4.44
Wingless-type MMTV integration site family, member 5A	WNT5A	213425_at	3.86
Transforming growth factor, beta-induced 68 kDa	TGFB1	201506_at	2.29
Placental growth factor-2	PGF	215179_x_at	2.08
Vascular endothelial growth factor A	VEGFA	212171_x_at	2
TIMP metallopeptidase inhibitor 2	TIMP2	231579_s_at	-2.0
