Order	Reporter	Gene name	S2N score	Ensembl entry
1	377615_A	CXCL12	4.2	ENSG00000107562
2	296541_A	CXCL12	3.68	ENSG00000107562
3	298509_A	COL1A1	2.44	ENSG00000108821
4	323321_A	COL1A1	2.33	ENSG00000108821
5	784027_A	AEBP1	2.31	ENSG00000106624
6	214997_A	COL1A1	2.3	ENSG00000108821
7	785527_A	FXYD1	2.28	ENSG00000126258
8	362332_A	CREB1	2.21	ENSG00000118260
9	151011_A	PTGFR	2.13	ENSG00000122420
10	258260_A	COL15A1	2.11	ENSG00000106817
