Classifier	Regulation	hsa-mirNA	Score (d)	Fold Change (Log2)
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-192	-3.7536	0.8293
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-194	-2.7355	0.8622
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-132	-2.3532	0.8771
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-602	-2.1771	0.8749
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-211	-1.9713	0.8746
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-let-7i	-1.9357	0.8906
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-629	-1.8797	0.8916
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-509	-1.6041	0.9016
(a) Melanocytes (NM) vs. melanomas (M) and all cell lines (MC)	Under-expressed miRNAs in M and MC	hsa-mir-22	-1.5783	0.9091
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-202	4.5534	1.1279
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-146b	4.4431	1.1249
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-195	4.3433	1.1251
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-768	4.2867	1.1323
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-223	4.0825	1.1256
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-126	3.8028	1.108
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-198	3.3898	1.1052
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-30e	3.2817	1.1051
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-181c	3.0776	1.0959
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-494	3.0768	1.0952
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-29c	3.0318	1.1158
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-199a	2.6986	1.0831
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-768	2.5208	1.0847
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-101	2.4162	1.0781
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-423	2.3291	1.0736
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-138	2.1797	1.0662
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-199b	2.1725	1.0687
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-339	2.1233	1.07
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-501	2.0999	1.0752
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-27a	1.9703	1.0658
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-296	1.9083	1.0681
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-765	1.8897	1.0612
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-26a	1.8523	1.0592
(b) Melanomas (M) vs. cell lines from nodal metastasis (MCn)	Over-expressed miRNAs in melanomas	hsa-mir-15a	1.8185	1.0491
