Probe Set ID	p-value	Gene Symbol
203271_s_at	3.82454E-05	UNC119
204640_s_at	4.60011E-05	SPOP
205283_at	1.22076E-05	FKTN
205424_at	6.81253E-05	TBKBP1
205583_s_at	4.51185E-05	CXorf45
205973_at	8.50337E-05	FEZ1
208100_x_at	3.13585E-05	SEMA6C
208942_s_at	5.17394E-05	SEC62
209513_s_at	5.96109E-05	HSDL2
211252_x_at	5.95954E-05	PTCRA
212555_at	4.57633E-05	LOC729623 /// PRKAR1B
212559_at	4.61644E-05	LOC729623 /// PRKAR1B
215277_at	7.36597E-05	PCDH1
217509_x_at	3.78805E-05	GRIK5
218828_at	5.96067E-05	PLSCR3
220933_s_at	5.09485E-05	ZCCHC6
221963_x_at	2.35978E-06
