Curated Gene Symbol	Gene
	5?-NTD
	Activin
	Activin A
	Activin beta A
ADAM9	ADAM9
	Alpha-actinin 1
AMIGO2	AMIGO2
	Annexin I
	Annexin II
	Beta-IG-H3
	Calcyclin
	Caldesmon
	Calgizzarin
	Calumenin
	Caveolin-1
	Caveolin-2
CCL2	CCL2
CD44	CD44
CD59	CD59
CLIC4	CLIC4
CTGF	CTGF
	Cyr61
DKK1	DKK1
EMP3	EMP3
	ENO
ENO1	ENO1
FHL2	FHL2
	Fibronectin
	FoxD1
	Galectin-1
	GLIPR
	Gremlin
	IEX1
IL6	IL-6
IL8	IL-8
	KDELR
LIF	LIF
LOXL1	LOXL1
LOXL2	LOXL2
	Lysyl oxidase
MAFF	MafF
MCFD2	MCFD2
MICAL2	MICAL2
	MMP-1
	Myoferlin
NNMT	NNMT
NQO1	NQO1
SERPINE1	PAI1
TSPO	PBR
PHLDA1	PHLDA1
	PLAT (TPA)
	PLAU (UPA)
	PLAUR (uPAR)
PLOD2	PLOD2
PTRF	PTRF
PTX3	PTX3
RGS4	RGS4
	Serglycin
SERPINE2	SERPINE2
SH3BGRL3	SH3BGRL3
	Stanniocalcin 2
TAGLN2	TAGLN2
TFPI2	TFPI-2
	Thrombospondin 1
TIMP1	TIMP1
	TM4SF1 (TAAL6)
	Transgelin
	Tropomyosin-2
	Tropomyosin-4
PHLDA2	TSSC3
	UDP-N-acetylhexosamine pyrophosphorylase
	VEGF-C
