Probe set	FC	P value	Gene symbol
202018_s_at	10.52	0.0005	LTF
237395_at	7.76	0.0035	CYP4Z1
227702_at	5.57	0.0032	CYP4X1
239723_at	4.42	0.0005	SLC40A1
210096_at	4.12	0.0011	CYP4B1
1553434_at	3.8	0.0009	CYP4Z2P
225871_at	2.34	0.0188	STEAP2
1555497_a_at	2.34	0.0061	CYP4B1
233123_at	2.29	0.0139	SLC40A1
223044_at	2.26	0.0066	SLC40A1
205542_at	2.17	0.0266	STEAP1
219232_s_at	2.15	0.0006	EGLN3
222453_at	2.14	0.0119	CYBRD1
204446_s_at	2.19	0.0003	ALOX5
224996_at	2.1	0.0135	ASPH
202888_s_at	3.52	0.0008	ANPEP
212774_at	2.97	0.032	ZNF238
212325_at	2.96	0.0002	LIMCH1
225728-at	2.72	0.0141	SORBS2
207981_s_at	2.69	0.0213	ESRRG
212328_at	2.69	0.0001	LIMCH1
204288_s_at	2.69	0.0073	SORBS2
212327_at	2.49	0.0008	LIMCH1
241459_at	2.35	0.0003	LIMCH1
227811_at	2.2	0.0051	FGD3
211965_at	2.18	0.0002	ZFP36L1
215073_s_at	2.08	0.0063	NR2F2
231929_at	2.07	0.0039	IKZF2
214761_at	2.05	0.0016	ZNF423
219197_s_at	3.08	0.0173	SCUBE2
204455_at	2.7	0.0065	DST
229030_at	2.42	0.037	CAPN8
209369_at	2.42	0.0174	ANXA3
203887_s_at	2.2	0.0006	THBD
204446_s_at	2.19	0.0003	ALOX5
224996_at	2.1	0.0135	ASPH
221584_s_at	2.11	0.0023	KCNMA1
1564241_at	2.07	0.0257	ATP1A4
227556_at	2.99	0.0007	NME7
243030_at	2.49	0.0006	MAP3K1
221584_s_at	2.11	0.0023	KCNMA1
1564241_at	2.07	0.0257	ATP1A4
230364_at	2	0.0217	CHPT1
203908_at	4.81	0.0005	SLC4A4
201242_s_at	2.76	0.0001	ATP1B1
201243_s_at	2.71	0.0002	ATP1B1
210738_s_at	2.13	0.0023	SLC4A4
211494_s_at	2.13	0.0025	SLC4A4
244623_at	2.3	0.0152	KCNQ5
221584_s_at	2.11	0.0023	KCNMA1
1564241_at	2.07	0.0257	ATP1A4
205513_at	2.87	0.0009	TCN1
230364_at	2	0.0217	CHPT1
214451_at	6.68	0.002	TFAP2B
1553394_a_at	4.34	0.0035	TFAP2B
223864_at	4.25	0.0399	ANKRD30A
230316_at	3.05	0.0006	SEC14L2
204541_at	3.03	0.0004	SEC14L2
209292_at	3.03	0.0002	ID4
212774_at	2.97	0.032	ZNF238
209291_at	2.96	0.0001	ID4
207981_s_at	2.69	0.0213	ESRRG
226847_at	2.61	0.002	FST
243030_at	2.49	0.0006	MAP3K1
226992_at	2.23	0.0064	NOSTRIN
212762_s_at	2.18	0	TCF7L2
210319_x_at	2.17	0.0011	MSX2
216511_s_at	2.16	0	TCF7L2
224975_at	2.13	0.0003	NFIA
240024_at	2.12	0.0016	SEC14L2
209706_at	2.12	0.0292	NKX361
221666_s_at	2.09	0.005	PYCARD
215073_s_at	2.08	0.0063	NR2F2
216035_x_at	2.08	0	TCF7L2
231929_at	2.07	0.0039	IKZF2
214761_at	2.05	0.0016	ZNF423
220625_s_at	2.02	0.0286	ELF5
226806_s_at	2.02	0.0006	NFIA
