Gene	Fold Difference	Fragments (Clones)	Unigene ID	GenBank	Differentially Expressed By
CD1d 1	2.3–2.7	1 (1)	Mm.1894	NM_007639.1	CD8 cDC
CD36	1.6 –5.6	2 (3)	Mm.18628	BC010262.1	CD8 cDC
CD8 alpha	4.3–13.1	1 (5)	Mm.1858	XM_132621.2	CD8 cDC
CD86	2.1–2.8	1 (1)	Mm.1452	AK079513.1	CD8 cDC
CD4	2.7	1 (1)	Mm.2209	BC039137.1	CD4 cDC
CD209a	2.7– 6.0	2 (7)	Mm.32510	AY049062.1	CD4 and DN cDC
Emr1	1.5–2.8	1 (1)	Mm.2254	MMF480	CD4 and DN cDC
Sirpb1a	1.6 –9.7	3 (14)	Mm.330924	NM_198405.1	CD4 and DN cDC
Sirpb4	1.4 –1.8	1 (1)			CD4 and DN cDC
