Detector	Control CT	EV CT	Delta CT
hsa-miR-768-3p	31.288538	40	8.711462
hsa-miR-768-3p	30.915428	38.2742825	7.3588545
hsa-miR-184	34.194557	40	5.805443
hsa-miR-518d-3p	34.235046	40	5.764954
hsa-miR-210	34.77528	40	5.22472
hsa-miR-650	34.824173	40	5.175827
hsa-miR-493	32.459274	37.566881	5.107607
hsa-miR-520c-3p	30.608192	35.1301985	4.5220065
hsa-miR-801	29.449623	33.9495295	4.4999065
hsa-miR-571	32.51049	36.821	4.31051
hsa-miR-571	32.532497	36.726315	4.193818
hsa-miR-139-3p	32.577957	36.745966	4.168009
hsa-miR-801	29.96347	34.103146	4.139676
hsa-miR-483-5p	25.644997	29.5459365	3.9009395
hsa-miR-526b	29.955173	33.5333995	3.5782265
hsa-miR-34a	33.936035	37.4788685	3.5428335
hsa-miR-26a-1	32.809547	36.004627	3.19508
hsa-miR-632	33.665012	36.7564	3.091388
hsa-miR-454	33.86679	36.784067	2.917277
hsa-miR-29c	34.364235	37.0200825	2.6558475
hsa-miR-509-3p	31.355238	33.7701065	2.4148685
hsa-miR-548a-3p	32.366383	34.3427835	1.9764005
hsa-miR-422a	34.763992	36.7209815	1.9569895
hsa-miR-630	31.130163	33.066796	1.936633
hsa-miR-432	30.45356	32.335505	1.881945
hsa-miR-432	31.393682	33.1594295	1.7657475
hsa-miR-128	31.894037	33.642915	1.748878
hsa-miR-9	34.13682	35.8128565	1.6760365
hsa-miR-877	28.821587	30.43657	1.614983
hsa-let-7b	32.800743	33.918874	1.118131
