Gene Symbol	Gene Name (Gene Symbol)
GUSB	Glucuronidase, beta (GUSB)
A-PPIA	Peptidylprolyl isomerase A (Cyclophilin A-PPIA)
B2M	Beta-2-microglobulin (B2M)
HMBS	Hydroxymethylbilane synthase (HMBS)
COMT	Catechol-O-methyltransferase (COMT)
DRD1	Dopamine receptor D1 (DRD1)
DRD2L	Dopamine receptor D2 long isoform (DRD2L)
DRD2S	Dopamine receptor D2 short isoform (DRD2S)
DRD4	Dopamine receptor D4 (DRD4)
DRD5	Dopamine receptor D5 (DRD5)
MAOA	Monoxidase A (MAOA)
MAOB	Monoxidase B (MAOB)
