Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Forsberg	HSC	SGL	19285	Ptrf
Forsberg	HSC	SGL	19659	Rbp1
Forsberg	HSC	SGL	19693	Reg2
Forsberg	HSC	SGL	19716	Bex1
Forsberg	HSC	SGL	19934	Rpl22
Forsberg	HSC	SGL	19988	Rpl6
Forsberg	HSC	SGL	20187	Ryk
Forsberg	HSC	SGL	20322	Sord
Forsberg	HSC	SGL	20341	Selenbp1
Forsberg	HSC	SGL	20362	7-Sep
Forsberg	HSC	SGL	20392	Sgce
Forsberg	HSC	SGL	20439	Siah2
Forsberg	HSC	SGL	20442	St3gal1
Forsberg	HSC	SGL	20481	Ski
Forsberg	HSC	SGL	20496	Slc12a2
Forsberg	HSC	SGL	20541	Slc8a1
Forsberg	HSC	SGL	20619	Snap23
Forsberg	HSC	SGL	20646	Snrpn
Forsberg	HSC	SGL	20652	Soat1
Forsberg	HSC	SGL	20672	Sox18
Forsberg	HSC	SGL	20679	Sox6
Forsberg	HSC	SGL	20716	Serpina3n
Forsberg	HSC	SGL	20719	Serpinb6a
Forsberg	HSC	SGL	207212	Arhgef17
Forsberg	HSC	SGL	207728	Pde2a
Forsberg	HSC	SGL	208144	Dhx37
Forsberg	HSC	SGL	208177	Phldb2
Forsberg	HSC	SGL	20822	Trove2
Forsberg	HSC	SGL	20848	Stat3
Forsberg	HSC	SGL	20849	Stat4
Forsberg	HSC	SGL	208647	Creb3l2
Forsberg	HSC	SGL	20866	Stim1
Forsberg	HSC	SGL	208820	OTTMUSG00000004461
Forsberg	HSC	SGL	20887	Sult1a1
Forsberg	HSC	SGL	209039	Tenc1
Forsberg	HSC	SGL	210297	Lrch2
Forsberg	HSC	SGL	21349	Tal1
Forsberg	HSC	SGL	21388	Tbx5
Forsberg	HSC	SGL	214137	Arhgap29
Forsberg	HSC	SGL	21426	Tcfec
Forsberg	HSC	SGL	214459	Fnbp1l
Forsberg	HSC	SGL	216233	Socs2
Forsberg	HSC	SGL	216565	Ehbp1
Forsberg	HSC	SGL	21687	Tek
Forsberg	HSC	SGL	217333	Trim47
Forsberg	HSC	SGL	21814	Tgfbr3
Forsberg	HSC	SGL	21817	Tgm2
Forsberg	HSC	SGL	21821	Ift88
Forsberg	HSC	SGL	21822	Tgtp
Forsberg	HSC	SGL	21838	Thy1
Forsberg	HSC	SGL	21858	Timp2
Forsberg	HSC	SGL	21859	Timp3
Forsberg	HSC	SGL	21872	Tjp1
Forsberg	HSC	SGL	22029	Traf1
Forsberg	HSC	SGL	22038	Plscr1
Forsberg	HSC	SGL	22059	Trp53
Forsberg	HSC	SGL	22068	Trpc6
Forsberg	HSC	SGL	22152	Tubb3
Forsberg	HSC	SGL	22154	Tubb5
Forsberg	HSC	SGL	22156	Tuft1
Forsberg	HSC	SGL	22224	Usp10
Forsberg	HSC	SGL	22275	Urod
Forsberg	HSC	SGL	22320	Vamp8
Forsberg	HSC	SGL	22361	Vnn1
Forsberg	HSC	SGL	223649	Nrbp2
Forsberg	HSC	SGL	22371	Vwf
Forsberg	HSC	SGL	224938	Pja2
Forsberg	HSC	SGL	225115	Svil
Forsberg	HSC	SGL	226178	D19Wsu162e
Forsberg	HSC	SGL	226519	Lamc1
Forsberg	HSC	SGL	22755	Zfp93
Forsberg	HSC	SGL	22781	Ikzf4
Forsberg	HSC	SGL	22784	Slc30a3
Forsberg	HSC	SGL	229906	Gtf2b
Forsberg	HSC	SGL	230376	6230416J20Rik
Forsberg	HSC	SGL	230908	Tardbp
Forsberg	HSC	SGL	232237	Fgd5
Forsberg	HSC	SGL	232313	Glt8d4
Forsberg	HSC	SGL	232664	Ccdc136
Forsberg	HSC	SGL	233168	AI987944
Forsberg	HSC	SGL	234214	Sorbs2
Forsberg	HSC	SGL	234373	Sfrs14
Forsberg	HSC	SGL	234593	Ndrg4
Forsberg	HSC	SGL	235380	Dmxl2
Forsberg	HSC	SGL	236900	Pdk3
Forsberg	HSC	SGL	23854	Def8
Forsberg	HSC	SGL	23921	Sh2b2
Forsberg	HSC	SGL	240185	9430020K01Rik
Forsberg	HSC	SGL	24061	Smc1a
Forsberg	HSC	SGL	241520	D430039N05Rik
Forsberg	HSC	SGL	242297	1700012H17Rik
Forsberg	HSC	SGL	242484	D630039A03Rik
Forsberg	HSC	SGL	246154	Vasn
Forsberg	HSC	SGL	252972	Tpcn1
Forsberg	HSC	SGL	258334	Olfr1396
Forsberg	HSC	SGL	259302	Srgap3
Forsberg	HSC	SGL	26357	Abcg2
Forsberg	HSC	SGL	26358	Aldh1a7
Forsberg	HSC	SGL	26362	Axl
Forsberg	HSC	SGL	26364	Cd97
Forsberg	HSC	SGL	26442	Psma5
Forsberg	HSC	SGL	26450	Rbbp9
Forsberg	HSC	SGL	26886	Cenph
Forsberg	HSC	SGL	268903	Nrip1
Forsberg	HSC	SGL	269587	Epb4.1
Forsberg	HSC	SGL	27027	Tspan32
Forsberg	HSC	SGL	27028	Ermap
Forsberg	HSC	SGL	27055	Fkbp9
Forsberg	HSC	SGL	27057	Ncoa4
Forsberg	HSC	SGL	270685	Mthfd1l
Forsberg	HSC	SGL	272158	Poln
Forsberg	HSC	SGL	27218	Slamf1
Forsberg	HSC	SGL	27973	Vkorc1
Forsberg	HSC	SGL	27999	D6Wsu176e
Forsberg	HSC	SGL	28035	Usp39
Forsberg	HSC	SGL	29811	Ndrg2
Forsberg	HSC	SGL	29812	Ndrg3
Forsberg	HSC	SGL	320024	Aadacl1
Forsberg	HSC	SGL	320262	A830073O21Rik
Forsberg	HSC	SGL	320394	Cenpt
Forsberg	HSC	SGL	320405	Cadps2
Forsberg	HSC	SGL	320487	Heatr5a
Forsberg	HSC	SGL	329540	8430427H17Rik
Forsberg	HSC	SGL	380959	Alg10b
Forsberg	HSC	SGL	382406	Wdr51b
Forsberg	HSC	SGL	406217	Bex4
Forsberg	HSC	SGL	407786	Taf9b
Forsberg	HSC	SGL	433375	Creg1
Forsberg	HSC	SGL	50781	Dkk3
Forsberg	HSC	SGL	50884	Nckap1
Forsberg	HSC	SGL	50934	Slc7a8
Forsberg	HSC	SGL	51789	Tnk2
Forsberg	HSC	SGL	52357	Wwc2
Forsberg	HSC	SGL	53310	Dlg3
Forsberg	HSC	SGL	53380	Psmd10
Forsberg	HSC	SGL	53415	Htatip2
Forsberg	HSC	SGL	53620	Vamp5
Forsberg	HSC	SGL	53869	Rab11a
Forsberg	HSC	SGL	53885	Nphp1
Forsberg	HSC	SGL	54132	Pdlim1
Forsberg	HSC	SGL	54139	Irf6
Forsberg	HSC	SGL	54366	Ctnnal1
Forsberg	HSC	SGL	54369	Nme6
Forsberg	HSC	SGL	54451	Cpsf3
Forsberg	HSC	SGL	54683	Prdx5
Forsberg	HSC	SGL	56043	Akr1e1
Forsberg	HSC	SGL	56274	Stk3
Forsberg	HSC	SGL	56292	Ard1
Forsberg	HSC	SGL	56318	Acpp
Forsberg	HSC	SGL	56338	Txnip
Forsberg	HSC	SGL	56358	Copz2
Forsberg	HSC	SGL	56390	Sssca1
Forsberg	HSC	SGL	56464	Ctsf
Forsberg	HSC	SGL	56739	Rec8
Forsberg	HSC	SGL	56749	Dhodh
Forsberg	HSC	SGL	56753	Tacstd2
Forsberg	HSC	SGL	57028	Pdxp
Forsberg	HSC	SGL	57440	Ehd3
Forsberg	HSC	SGL	60596	Gucy1a3
Forsberg	HSC	SGL	64540	Tspan4
Forsberg	HSC	SGL	64945	Cldn12
Forsberg	HSC	SGL	65945	Clstn1
Forsberg	HSC	SGL	65970	Lima1
Forsberg	HSC	SGL	66055	0610009D07Rik
Forsberg	HSC	SGL	66066	Gng11
Forsberg	HSC	SGL	66102	Cxcl16
Forsberg	HSC	SGL	66192	Lage3
Forsberg	HSC	SGL	66433	Chchd7
Forsberg	HSC	SGL	66456	2810001G20Rik
Forsberg	HSC	SGL	66528	2210020M01Rik
Forsberg	HSC	SGL	66612	Ormdl3
Forsberg	HSC	SGL	66684	Tceal8
Forsberg	HSC	SGL	66775	Ptplad2
Forsberg	HSC	SGL	66790	Grtp1
Forsberg	HSC	SGL	66889	Rnf128
Forsberg	HSC	SGL	66945	Sdha
Forsberg	HSC	SGL	66957	Serpinb11
Forsberg	HSC	SGL	67035	Dnajb4
Forsberg	HSC	SGL	67103	Ltb4dh
Forsberg	HSC	SGL	67155	Smarca2
Forsberg	HSC	SGL	67182	Pdzk1ip1
Forsberg	HSC	SGL	67216	Mboat2
