Curated Gene Sybom	Unigene ID	Description
ITGB3BP	Hs.82084	Integrin beta 3 binding protein (beta3-endonexin) (ITGB3BP), mRNA
CCNH	Hs.514	Cyclin H (CCNH), mRNA
CYP2C9	Hs.167529	Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9 (CYP2C9), mRNA
SLC22A1	Hs.117367	Solute carrier family 22 (organic cation transporter), member 1 (SLC22A1), mRNA
SDCCAG1	Hs.54900	Serologically defined colon cancer antigen 1 (SDCCAG1), mRNA
BHMT	Hs.80756	Betaine-homocysteine methyltransferase (BHMT), mRNA
RNAHP	Hs.8765	RNA helicase-related protein (RNAHP), mRNA
HP	Hs.755990	Haptoglobin (HP), mRNA
PRRG2	Hs.35101	Proline-rich Gla (G-carboxyglutamic acid) polypeptide 2 (PRRG2), mRNA
