Genes	GenBank accession no.	PC	T/C-28a4 Monolayer	Bead	C-28/I2 Monolayer	Bead	T/C-28a2 Monolayer	Bead
Serine/threonine-protein kinase PLK1	U01038	ND	41	30	24	25	12	69
Cell division protein kinase 4; cyclin-dependent kinase 4	M14505	ND	12	16	13	19	8	31
G2/mitotic-specific cyclin B1	M25753	ND	25	86	31	23	12	79
Cell division protein kinase 5	X66364	ND	18	10	11	9	10	17
Cyclin-dependent kinase 4 inhibitor	L27211	ND	17	15	23	36	19	28
Cell cycle progression 2 protein	AF011792	ND	25	13	ND	4	9	27
Mitotic feedback control protein MADP2 homolog	U65410	ND	6	16	8	5	ND	11
B-myb	X13293	ND	29	30	44	49	35	32
Cyclin-dependent kinase regulatory subunit	X54942	ND	35	22	16	12	14	16
M-phase inducer phosphatase 2	M81934	ND	22	46	31	17	12	24
M-phase inducer phosphatase 3	M34065	ND	7	14	26	27	9	17
DNA ligase I; polydeoxyribonucleotide synthase	M36067	ND	9	9	9	11	7	4
MCM2 DNA replication licensing factor	D21063	ND	16	11	13	11	13	6
Proliferating cyclic nuclear antigen	M15796	15	63	84	45	59	128	131
Ribonucleoside-diphosphate reductase M1 subunit	X59543	ND	ND	19	11	10	ND	8
Antigen KI-67	X65550	ND	ND	11	13	ND	ND	ND
