# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|223326_s_at|223326_s_at	entrezgene|32604|32604
affy_hg_u133_plus_2|218745_x_at|218745_x_at	entrezgene|28030|28030
affy_hg_u133_plus_2|215304_at|215304_at	entrezgene|24599|24599
affy_hg_u133_plus_2|216048_s_at|216048_s_at	entrezgene|25341|25341
affy_hg_u133_plus_2|242106_at|242106_at	entrezgene|51356|51356
affy_hg_u133_plus_2|208562_s_at|208562_s_at	entrezgene|17981|17981
affy_hg_u133_plus_2|204901_at|204901_at	entrezgene|14349|14349
affy_hg_u133_plus_2|205637_s_at|205637_s_at	entrezgene|15085|15085
affy_hg_u133_plus_2|218778_x_at|218778_x_at	entrezgene|28063|28063
affy_hg_u133_plus_2|214693_x_at|214693_x_at	entrezgene|23990|23990
affy_hg_u133_plus_2|233270_x_at|233270_x_at	entrezgene|42523|42523
affy_hg_u133_plus_2|221866_at|221866_at	entrezgene|31147|31147
affy_hg_u133_plus_2|236559_at|236559_at	entrezgene|45809|45809
affy_hg_u133_plus_2|238134_at|238134_at	entrezgene|47384|47384
affy_hg_u133_plus_2|201624_at|201624_at	entrezgene|11073|11073
affy_hg_u133_plus_2|240313_at|240313_at	entrezgene|49563|49563
affy_hg_u133_plus_2|202915_s_at|202915_s_at	entrezgene|12365|12365
affy_hg_u133_plus_2|213842_x_at|213842_x_at	entrezgene|23143|23143
affy_hg_u133_plus_2|211932_at|211932_at	entrezgene|21241|21241
affy_hg_u133_plus_2|1559870_at|1559870_at	entrezgene|5035|5035
affy_hg_u133_plus_2|222866_s_at|222866_s_at	entrezgene|32146|32146
affy_hg_u133_plus_2|231018_at|231018_at	entrezgene|40273|40273
affy_hg_u133_plus_2|1557809_a_at|1557809_a_at	entrezgene|3907|3907
affy_hg_u133_plus_2|213844_at|213844_at	entrezgene|23145|23145
affy_hg_u133_plus_2|1569426_at|1569426_at	entrezgene|9213|9213
affy_hg_u133_plus_2|1554302_s_at|1554302_s_at	entrezgene|1470|1470
affy_hg_u133_plus_2|229251_s_at|229251_s_at	entrezgene|38506|38506
affy_hg_u133_plus_2|238061_at|238061_at	entrezgene|47311|47311
affy_hg_u133_plus_2|226082_s_at|226082_s_at	entrezgene|35339|35339
affy_hg_u133_plus_2|223012_at|223012_at	entrezgene|32292|32292
affy_hg_u133_plus_2|204899_s_at|204899_s_at	entrezgene|14347|14347
affy_hg_u133_plus_2|221366_at|221366_at	entrezgene|30650|30650
affy_hg_u133_plus_2|212262_at|212262_at	entrezgene|21569|21569
affy_hg_u133_plus_2|229750_at|229750_at	entrezgene|39005|39005
affy_hg_u133_plus_2|1564198_a_at|1564198_a_at	entrezgene|7513|7513
affy_hg_u133_plus_2|243288_at|243288_at	entrezgene|52539|52539
affy_hg_u133_plus_2|232556_at|232556_at	entrezgene|41811|41811
affy_hg_u133_plus_2|230272_at|230272_at	entrezgene|39527|39527
affy_hg_u133_plus_2|237643_at|237643_at	entrezgene|46893|46893
affy_hg_u133_plus_2|240130_at|240130_at	entrezgene|49380|49380
affy_hg_u133_plus_2|1562543_at|1562543_at	entrezgene|6656|6656
affy_hg_u133_plus_2|227894_at|227894_at	entrezgene|37149|37149
affy_hg_u133_plus_2|217002_s_at|217002_s_at	entrezgene|26293|26293
affy_hg_u133_plus_2|220170_at|220170_at	entrezgene|29455|29455
affy_hg_u133_plus_2|208679_s_at|208679_s_at	entrezgene|18096|18096
affy_hg_u133_plus_2|231580_at|231580_at	entrezgene|40835|40835
affy_hg_u133_plus_2|227360_at|227360_at	entrezgene|36616|36616
affy_hg_u133_plus_2|236125_at|236125_at	entrezgene|45375|45375
affy_hg_u133_plus_2|222931_s_at|222931_s_at	entrezgene|32211|32211
affy_hg_u133_plus_2|231394_at|231394_at	entrezgene|40649|40649
affy_hg_u133_plus_2|208252_s_at|208252_s_at	entrezgene|17677|17677
affy_hg_u133_plus_2|233865_at|233865_at	entrezgene|43116|43116
affy_hg_u133_plus_2|219893_at|219893_at	entrezgene|29178|29178
affy_hg_u133_plus_2|1561473_at|1561473_at	entrezgene|6033|6033
affy_hg_u133_plus_2|219471_at|219471_at	entrezgene|28756|28756
affy_hg_u133_plus_2|46665_at|46665_at	entrezgene|54425|54425
affy_hg_u133_plus_2|212276_at|212276_at	entrezgene|21583|21583
affy_hg_u133_plus_2|218168_s_at|218168_s_at	entrezgene|27454|27454
affy_hg_u133_plus_2|208274_at|208274_at	entrezgene|17699|17699
affy_hg_u133_plus_2|209709_s_at|209709_s_at	entrezgene|19118|19118
affy_hg_u133_plus_2|1552967_at|1552967_at	entrezgene|506|506
affy_hg_u133_plus_2|1566469_at|1566469_at	entrezgene|8287|8287
affy_hg_u133_plus_2|225862_at|225862_at	entrezgene|35120|35120
affy_hg_u133_plus_2|1561452_at|1561452_at	entrezgene|6019|6019
affy_hg_u133_plus_2|1562432_at|1562432_at	entrezgene|6590|6590
affy_hg_u133_plus_2|239408_at|239408_at	entrezgene|48658|48658
affy_hg_u133_plus_2|236460_at|236460_at	entrezgene|45710|45710
affy_hg_u133_plus_2|1555902_at|1555902_at	entrezgene|2660|2660
affy_hg_u133_plus_2|208169_s_at|208169_s_at	entrezgene|17597|17597
affy_hg_u133_plus_2|224614_at|224614_at	entrezgene|33874|33874
affy_hg_u133_plus_2|222446_s_at|222446_s_at	entrezgene|31726|31726
affy_hg_u133_plus_2|201261_x_at|201261_x_at	entrezgene|10710|10710
affy_hg_u133_plus_2|232474_at|232474_at	entrezgene|41729|41729
affy_hg_u133_plus_2|35148_at|35148_at	entrezgene|54217|54217
affy_hg_u133_plus_2|244596_at|244596_at	entrezgene|53847|53847
affy_hg_u133_plus_2|239158_at|239158_at	entrezgene|48408|48408
affy_hg_u133_plus_2|202394_s_at|202394_s_at	entrezgene|11843|11843
affy_hg_u133_plus_2|219395_at|219395_at	entrezgene|28680|28680
affy_hg_u133_plus_2|214158_s_at|214158_s_at	entrezgene|23458|23458
affy_hg_u133_plus_2|212180_at|212180_at	entrezgene|21487|21487
affy_hg_u133_plus_2|223942_x_at|223942_x_at	entrezgene|33218|33218
affy_hg_u133_plus_2|233890_at|233890_at	entrezgene|43141|43141
affy_hg_u133_plus_2|207893_at|207893_at	entrezgene|17333|17333
affy_hg_u133_plus_2|206142_at|206142_at	entrezgene|15589|15589
affy_hg_u133_plus_2|212570_at|212570_at	entrezgene|21876|21876
affy_hg_u133_plus_2|236618_at|236618_at	entrezgene|45868|45868
affy_hg_u133_plus_2|1564803_at|1564803_at	entrezgene|7758|7758
affy_hg_u133_plus_2|242517_at|242517_at	entrezgene|51767|51767
affy_hg_u133_plus_2|1557080_s_at|1557080_s_at	entrezgene|3427|3427
affy_hg_u133_plus_2|221174_at|221174_at	entrezgene|30458|30458
affy_hg_u133_plus_2|1559540_at|1559540_at	entrezgene|4850|4850
affy_hg_u133_plus_2|218634_at|218634_at	entrezgene|27920|27920
affy_hg_u133_plus_2|1555711_x_at|1555711_x_at	entrezgene|2513|2513
affy_hg_u133_plus_2|1559566_at|1559566_at	entrezgene|4863|4863
affy_hg_u133_plus_2|1560378_at|1560378_at	entrezgene|5315|5315
affy_hg_u133_plus_2|216169_at|216169_at	entrezgene|25462|25462
affy_hg_u133_plus_2|240172_at|240172_at	entrezgene|49422|49422
affy_hg_u133_plus_2|1557349_at|1557349_at	entrezgene|3589|3589
affy_hg_u133_plus_2|241399_at|241399_at	entrezgene|50649|50649
affy_hg_u133_plus_2|212905_at|212905_at	entrezgene|22210|22210
affy_hg_u133_plus_2|217647_at|217647_at	entrezgene|26933|26933
affy_hg_u133_plus_2|210619_s_at|210619_s_at	entrezgene|20005|20005
affy_hg_u133_plus_2|200628_s_at|200628_s_at	entrezgene|10077|10077
affy_hg_u133_plus_2|208367_x_at|208367_x_at	entrezgene|17789|17789
affy_hg_u133_plus_2|221747_at|221747_at	entrezgene|31028|31028
affy_hg_u133_plus_2|236685_at|236685_at	entrezgene|45935|45935
affy_hg_u133_plus_2|203333_at|203333_at	entrezgene|12781|12781
affy_hg_u133_plus_2|223956_at|223956_at	entrezgene|33232|33232
affy_hg_u133_plus_2|219015_s_at|219015_s_at	entrezgene|28300|28300
affy_hg_u133_plus_2|235758_at|235758_at	entrezgene|45008|45008
affy_hg_u133_plus_2|203545_at|203545_at	entrezgene|12993|12993
affy_hg_u133_plus_2|230803_s_at|230803_s_at	entrezgene|40058|40058
affy_hg_u133_plus_2|208975_s_at|208975_s_at	entrezgene|18391|18391
affy_hg_u133_plus_2|240224_at|240224_at	entrezgene|49474|49474
affy_hg_u133_plus_2|229200_at|229200_at	entrezgene|38455|38455
affy_hg_u133_plus_2|223945_x_at|223945_x_at	entrezgene|33221|33221
affy_hg_u133_plus_2|44822_s_at|44822_s_at	entrezgene|54409|54409
affy_hg_u133_plus_2|212144_at|212144_at	entrezgene|21451|21451
affy_hg_u133_plus_2|211398_at|211398_at	entrezgene|20734|20734
affy_hg_u133_plus_2|1555226_s_at|1555226_s_at	entrezgene|2160|2160
affy_hg_u133_plus_2|233047_at|233047_at	entrezgene|42301|42301
affy_hg_u133_plus_2|230107_at|230107_at	entrezgene|39362|39362
affy_hg_u133_plus_2|201429_s_at|201429_s_at	entrezgene|10878|10878
affy_hg_u133_plus_2|223718_at|223718_at	entrezgene|32995|32995
affy_hg_u133_plus_2|207323_s_at|207323_s_at	entrezgene|16768|16768
affy_hg_u133_plus_2|208454_s_at|208454_s_at	entrezgene|17873|17873
affy_hg_u133_plus_2|200908_s_at|200908_s_at	entrezgene|10357|10357
affy_hg_u133_plus_2|223940_x_at|223940_x_at	entrezgene|33216|33216
affy_hg_u133_plus_2|1558850_s_at|1558850_s_at	entrezgene|4457|4457
affy_hg_u133_plus_2|239824_s_at|239824_s_at	entrezgene|49074|49074
affy_hg_u133_plus_2|223502_s_at|223502_s_at	entrezgene|32780|32780
affy_hg_u133_plus_2|244204_at|244204_at	entrezgene|53455|53455
affy_hg_u133_plus_2|234642_at|234642_at	entrezgene|43892|43892
affy_hg_u133_plus_2|230648_at|230648_at	entrezgene|39903|39903
affy_hg_u133_plus_2|202187_s_at|202187_s_at	entrezgene|11636|11636
affy_hg_u133_plus_2|222586_s_at|222586_s_at	entrezgene|31866|31866
affy_hg_u133_plus_2|224344_at|224344_at	entrezgene|33612|33612
affy_hg_u133_plus_2|213834_at|213834_at	entrezgene|23135|23135
affy_hg_u133_plus_2|234762_x_at|234762_x_at	entrezgene|44012|44012
affy_hg_u133_plus_2|236054_at|236054_at	entrezgene|45304|45304
affy_hg_u133_plus_2|240116_at|240116_at	entrezgene|49366|49366
affy_hg_u133_plus_2|201174_s_at|201174_s_at	entrezgene|10623|10623
affy_hg_u133_plus_2|207409_at|207409_at	entrezgene|16853|16853
affy_hg_u133_plus_2|228354_at|228354_at	entrezgene|37609|37609
affy_hg_u133_plus_2|237204_at|237204_at	entrezgene|46454|46454
affy_hg_u133_plus_2|238853_at|238853_at	entrezgene|48103|48103
affy_hg_u133_plus_2|203015_s_at|203015_s_at	entrezgene|12465|12465
affy_hg_u133_plus_2|205635_at|205635_at	entrezgene|15083|15083
affy_hg_u133_plus_2|234728_s_at|234728_s_at	entrezgene|43978|43978
affy_hg_u133_plus_2|205400_at|205400_at	entrezgene|14848|14848
affy_hg_u133_plus_2|213726_x_at|213726_x_at	entrezgene|23027|23027
affy_hg_u133_plus_2|233585_at|233585_at	entrezgene|42837|42837
affy_hg_u133_plus_2|217809_at|217809_at	entrezgene|27095|27095
affy_hg_u133_plus_2|208439_s_at|208439_s_at	entrezgene|17859|17859
affy_hg_u133_plus_2|240037_at|240037_at	entrezgene|49287|49287
affy_hg_u133_plus_2|223515_s_at|223515_s_at	entrezgene|32793|32793
affy_hg_u133_plus_2|217770_at|217770_at	entrezgene|27056|27056
affy_hg_u133_plus_2|227226_at|227226_at	entrezgene|36482|36482
affy_hg_u133_plus_2|223925_s_at|223925_s_at	entrezgene|33201|33201
affy_hg_u133_plus_2|243091_at|243091_at	entrezgene|52342|52342
affy_hg_u133_plus_2|201365_at|201365_at	entrezgene|10814|10814
affy_hg_u133_plus_2|243640_x_at|243640_x_at	entrezgene|52891|52891
affy_hg_u133_plus_2|240010_at|240010_at	entrezgene|49260|49260
affy_hg_u133_plus_2|201353_s_at|201353_s_at	entrezgene|10802|10802
affy_hg_u133_plus_2|201500_s_at|201500_s_at	entrezgene|10949|10949
affy_hg_u133_plus_2|213779_at|213779_at	entrezgene|23080|23080
affy_hg_u133_plus_2|211417_x_at|211417_x_at	entrezgene|20750|20750
affy_hg_u133_plus_2|219906_at|219906_at	entrezgene|29191|29191
affy_hg_u133_plus_2|231330_at|231330_at	entrezgene|40585|40585
affy_hg_u133_plus_2|203841_x_at|203841_x_at	entrezgene|13289|13289
affy_hg_u133_plus_2|212757_s_at|212757_s_at	entrezgene|22063|22063
affy_hg_u133_plus_2|231967_at|231967_at	entrezgene|41222|41222
affy_hg_u133_plus_2|222329_x_at|222329_x_at	entrezgene|31609|31609
affy_hg_u133_plus_2|220747_at|220747_at	entrezgene|30032|30032
affy_hg_u133_plus_2|243279_at|243279_at	entrezgene|52530|52530
affy_hg_u133_plus_2|233095_at|233095_at	entrezgene|42349|42349
affy_hg_u133_plus_2|209806_at|209806_at	entrezgene|19214|19214
affy_hg_u133_plus_2|231658_x_at|231658_x_at	entrezgene|40913|40913
affy_hg_u133_plus_2|232029_at|232029_at	entrezgene|41284|41284
affy_hg_u133_plus_2|207923_x_at|207923_x_at	entrezgene|17360|17360
affy_hg_u133_plus_2|205434_s_at|205434_s_at	entrezgene|14882|14882
affy_hg_u133_plus_2|234680_at|234680_at	entrezgene|43930|43930
affy_hg_u133_plus_2|242866_x_at|242866_x_at	entrezgene|52116|52116
