miRNA	Pearson Correlation Coefficient (r)	Fold difference (Adenoma vs. Cancer)	P value
hsa-miR-100	0.83	?1.8	0.22
hsa-miR-126	0.67	?2.2	0.1
hsa-miR-126	0.65	?1.2	0.04
hsa-miR-28	0.12	?1.8	0.19
hsa-miR-34a	0.12	?2.5	0.06
hsa-miR-27b	0.25	?1.7	0.14
hsa-miR-423-3P	0.29	?2.8	0.1
has-miR-27a	0.3	?1.7	0.33
hsa-let-7a	0.33	?1.8	0.15
hsa-miR-30b	0.41	?1.9	0.04
hsa-let-7f	0.44	?1.4	0.24
hsa-miR-26b	0.46	?2.3	0.04
hsa-miR-145	0.53	?2.1	0.33
