Probe set	Gene	Gene ID	Public ID	Fold change (log2 ratio)
1555340_x_at	GFP	n/a	AB051846	6,74
1555339_at	GFP	n/a	AB051846	6,41
219836_at	ZBED2	79413	NM_024508	5,33
204967_at	SHROOM2	357	NM_001649	4,63
205110_s_at	FGF13	2258	NM_004114	4,50
205638_at	BAI3	577	NM_001704	4,47
228104_at	PLXNA4A	57671	AL117427	4,41
208885_at	LCP1	3936	J02923	4,11
1553311_at	C20orf197	284756	NM_173644	4,01
213524_s_at	G0S2	50486	NM_015714	3,72
205659_at	HDAC9	9734	NM_014707	3,68
215856_at	SIGLEC15	284266	AK025833	3,65
202957_at	HCLS1	3059	NM_005335	3,59
1559462_at	LOC646340	646340	BC043411	3,56
209604_s_at	GATA3	2625	BC003070	3,54
225354_s_at	SH3BGRL2	83699	AL035700	3,49
203708_at	PDE4B	5142	NM_002600	3,45
232027_at	SYNE1	23345	AL049548	3,23
226219_at	ARHGAP30	257106	AW575123	3,19
207149_at	CDH12	1010	L33477	3,18
228051_at	LOC202451	202451	AI979261	3,07
235004_at	RBM24	221662	AI677701	3,07
237737_at	LOC375010 /// LOC401131 /// LOC643166 /// LOC643579 /// LOC646340 /// LOC728295	375010 /// 401131 /// 643166 /// 643579 /// 646340 /// 728295 /// 728364	AI359676	3,03
1552721_a_at	FGF1	2246	NM_033136	3,03
1564838_a_at	LOC151760	151760	BC038577	3,00
202668_at	EFNB2	1948	BF001670	2,93
219315_s_at	C16orf30	79652	NM_024600	2,93
203030_s_at	PTPRN2	5799	AF007555	2,90
203288_at	KIAA0355	9710	NM_014686	2,88
202669_s_at	EFNB2	1948	U16797	2,85
218995_s_at	EDN1	1906	NM_001955	2,85
242705_x_at	n/a	n/a	AI188104	2,78
211003_x_at	TGM2	7052	BC003551	2,77
232360_at	EHF	26298	AA565141	2,76
222802_at	EDN1	1906	J05008	2,74
228083_at	CACNA2D4	93589	AI433691	2,74
219369_s_at	OTUB2	78990	NM_023112	2,73
232361_s_at	EHF	26298	AA565141	2,67
32699_s_at	PVR	5817	X64116	2,66
231325_at	UNC5D	137970	AI802048	2,61
219308_s_at	AK5	26289	NM_012093	2,60
212238_at	ASXL1	171023	AL117518	2,59
1552912_a_at	IL23R	149233	NM_144701	2,55
232014_at	ZNF30	90075	AI700188	2,53
222227_at	FLJ20840	n/a	AK000847	2,51
202016_at	MEST	4232	NM_002402	2,50
232315_at	LOC400713	400713	AU149712	2,45
214009_at	MSL3L1	10943	R10150	2,44
201042_at	TGM2	7052	AL031651	2,43
217705_at	PRKD1	5587	AW085172	2,42
237552_at	n/a	n/a	BF056473	2,41
239135_at	n/a	n/a	AI675054	2,37
243529_at	MARS2	92935	BE542381	2,34
207038_at	SLC16A6	9120	NM_004694	2,33
