Gene symbol	Gene name	Probe ID	Fold difference
ALK	anaplastic lymphoma receptor tyrosine kinase	208212_s_at	8.7
EST	transcribed locus	242964_at	4.6
WT1	Wilms tumor 1	206067_s_at	4.3
ALK	anaplastic lymphoma receptor tyrosine kinase	208211_s_at	3.2
SLITRK5	SLIT and NTRK-like family, member 5	214930_at	2.9
EST	transcribed locus	1570291_at	2.7
LOC340340	hypothetical LOC340340	1561254_at	2.2
LOC100130894	hypothetical LOC100130894	1564158_a_at	2.2
MYO3B	myosin IIIB	1560788_at	2.2
DNAJC12	DnaJ (Hps40) homolog, subfamily C, member 12	223721_s_at	2.1
LOC100292909	hypothetical protein LOC100292909	241535_at	2.1
