Curated miRBase	FC (MEL60/MEL30)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-30a	2.2183	1.1494	0	0.0021	FC 2.0-4.0	hsa-miR-30aSTAR-4373062
hsa-miR-10b	1.7444	0.8027	0.0022	0.0739	FC 1.6-2.0	hsa-miR-10bSTAR-4395426
hsa-miR-30e	1.6826	0.7507	0.0026	0.0739	FC 1.6-2.0	hsa-miR-30eSTAR-4373057
hsa-miR-409	2.1484	1.1032	0.0049	0.1038	FC 2.0-4.0	hsa-miR-409-3p-4395443
hsa-miR-29c	2.2418	1.1647	0.0069	0.1151	FC 2.0-4.0	hsa-miR-29cSTAR-4381131
hsa-miR-125b	2.7217	1.4445	0.0096	0.1341	FC 2.0-4.0	hsa-miR-125b-1STAR-4395489
hsa-miR-432	2.6512	1.4066	0.0157	0.1808	FC 2.0-4.0	hsa-miR-432-4373280
hsa-miR-505	2.2251	1.1539	0.0193	0.1808	FC 2.0-4.0	hsa-miR-505STAR-4395198
hsa-miR-944	0.4042	-1.3068	0.0204	0.1808	FC 2.0-4.0	hsa-miR-944-4395300
hsa-miR-766	2.6347	1.3976	0.0215	0.1808	FC 2.0-4.0	hsa-miR-766-4395177
hsa-miR-214	1.7814	0.833	0.0252	0.1926	FC 1.6-2.0	hsa-miR-214STAR-4395404
hsa-miR-99b	1.4101	0.4958	0.0285	0.1993	FC 1.2-1.6	hsa-miR-99bSTAR-4395307
hsa-miR-572	0.4892	-1.0314	0.0411	0.2653	FC 2.0-4.0	hsa-miR-572-4381017
hsa-miR-768	1.2722	0.3474	0.0483	0.2896	FC 1.2-1.6	hsa-miR-768-3p-4395188
