ProbeSet	Fold	Direction	GeneName	P Value	Function
K03430	3.8	Up	Complement C1q	0.05	T-cell and B-cell activation
HG2915	3.1	Up	MHC class I	0.01	T-cell and B-cell activation
K01160	3	Up	MHC class II	0.01	T-cell and B-cell activation
M28879	2.9	Up	Granzyme B	0.01	T-cell and B-cell activation
X00695	2.8	Up	Interleukin-2	0.01	T-cell and B-cell activation
K02765	2.4	Up	Complement component C3	0.01	T-cell and B-cell activation
U25956	2.1	Up	P-selectin	0.01	T-cell and B-cell activation
U37518	4.9	Up	TNF-related apoptosis inducing ligan	0.01	Apoptosis
U69611	3	Up	TNF-alpha converting enzyme	0.01	Apoptosis
M59465	2.4	Up	TNF-alpha inducible protein A20	0.01	Apoptosis
X02910	2.1	Up	TNF-alpha	0.01	Apoptosis
X05839	3.2	Up	Transforming growth factor beta 1	0.05	Growth factors
X57025	2.5	Up	Insulin-like growth factor I	0.05	Growth factors
M74587	2.8	Down	IGF-binding protein	0.01	Growth factors
M97935	3.1	Up	Transcription factor ISGF-3	0.01	Transcription factors/stress response
M87503	2.3	Up	IFN-responsive transcription factor	0.01	Transcription factors/stress response
M11717	2.4	Up	Heat shock protein 70	0.01	Transcription factors/stress response
