Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Orwig	SSC	SGL	20499	Slc12a7
Orwig	SSC	SGL	20586	Smarca4
Orwig	SSC	SGL	20603	Sms
Orwig	SSC	SGL	20643	Snrpe
Orwig	SSC	SGL	20675	Sox3
Orwig	SSC	SGL	20716	Serpina3n
Orwig	SSC	SGL	20720	Serpine2
Orwig	SSC	SGL	20732	Spint1
Orwig	SSC	SGL	20750	Spp1
Orwig	SSC	SGL	207854	Fmr1nb
Orwig	SSC	SGL	207920	Rbm35a
Orwig	SSC	SGL	20873	Plk4
Orwig	SSC	SGL	20899	Stra8
Orwig	SSC	SGL	20957	Sycp1
Orwig	SSC	SGL	211623	Plac9
Orwig	SSC	SGL	212862	Chpt1
Orwig	SSC	SGL	21414	Tcf7
Orwig	SSC	SGL	214403	EG214403
Orwig	SSC	SGL	216233	Socs2
Orwig	SSC	SGL	216443	Mars
Orwig	SSC	SGL	216766	Gemin5
Orwig	SSC	SGL	21681	Thoc4
Orwig	SSC	SGL	217946	Cdca7l
Orwig	SSC	SGL	21847	Klf10
Orwig	SSC	SGL	21857	Timp1
Orwig	SSC	SGL	218973	Wdhd1
Orwig	SSC	SGL	21973	Top2a
Orwig	SSC	SGL	22037	Trap1a
Orwig	SSC	SGL	22137	Ttk
Orwig	SSC	SGL	22144	Tuba3a
Orwig	SSC	SGL	22177	Tyrobp
Orwig	SSC	SGL	22184	Zrsr2
Orwig	SSC	SGL	22202	Ube1y1
Orwig	SSC	SGL	22223	Uchl1
Orwig	SSC	SGL	22271	Upp1
Orwig	SSC	SGL	22385	Baz1b
Orwig	SSC	SGL	22417	Wnt4
Orwig	SSC	SGL	22441	Xlr
Orwig	SSC	SGL	22608	Ybx1
Orwig	SSC	SGL	226090	Ermp1
Orwig	SSC	SGL	22791	Dnajc2
Orwig	SSC	SGL	231507	Plac8
Orwig	SSC	SGL	232560	Caprin2
Orwig	SSC	SGL	233806	Tmem159
Orwig	SSC	SGL	234593	Ndrg4
Orwig	SSC	SGL	235439	Herc1
Orwig	SSC	SGL	23918	Impdh2
Orwig	SSC	SGL	241846	Lsm14b
Orwig	SSC	SGL	243529	H1fx
Orwig	SSC	SGL	245877	Mtap7d1
Orwig	SSC	SGL	264064	Cdk8
Orwig	SSC	SGL	268697	Ccnb1
