Curated miRBase	FC (NEVUS30/MEL30)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-650	0.1393	-2.8436	0	0.0036	FC > 4	hsa-miR-650-4381006
hsa-let-7i	4.3578	2.1236	0.0111	0.2768	FC > 4	hsa-let-7iSTAR-4395283
hsa-miR-572	0.3278	-1.6091	0.0117	0.2768	FC 2.0-4.0	hsa-miR-572-4381017
hsa-miR-135a	0.4993	-1.0021	0.0175	0.2768	FC 2.0-4.0	hsa-miR-135aSTAR-4395343
hsa-miR-768	1.5165	0.6008	0.0181	0.2768	FC 1.2-1.6	hsa-miR-768-3p-4395188
hsa-miR-604	0.3778	-1.4043	0.0188	0.2768	FC 2.0-4.0	hsa-miR-604-4380973
hsa-miR-223	0.1451	-2.7853	0.02	0.2768	FC > 4	hsa-miR-223STAR-4395209
hsa-miR-639	0.5274	-0.923	0.0284	0.3442	FC 1.6-2.0	hsa-miR-639-4380987
hsa-miR-214	0.6008	-0.7349	0.0438	0.4602	FC 1.6-2.0	hsa-miR-214STAR-4395404
hsa-miR-409	0.5134	-0.9619	0.0474	0.4602	FC 1.6-2.0	hsa-miR-409-3p-4395443
