NAME	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
CHR17Q25	103	-0.6322986	-2.8822246	0	0	0	3914	tags=61%, list=26%, signal=82%
CHR19P13	386	-0.5210728	-2.8296561	0	0	0	3025	tags=46%, list=20%, signal=57%
CHR16P13	178	-0.51047933	-2.5518613	0	0	0	2885	tags=46%, list=19%, signal=56%
CHR9Q34	174	-0.49218327	-2.4588697	0	0	0	3394	tags=50%, list=22%, signal=64%
CHR16P11	48	-0.5985569	-2.395867	0	0	0	2956	tags=54%, list=20%, signal=67%
CHR11Q13	189	-0.469682	-2.3376687	0	0	0	3664	tags=51%, list=24%, signal=66%
CHR6P22	87	-0.5167339	-2.2955487	0	0	0	1515	tags=31%, list=10%, signal=34%
CHR22Q11	98	-0.48776448	-2.1795282	0	0.000389748	0.004	3330	tags=42%, list=22%, signal=53%
CHR8Q24	102	-0.46434018	-2.1133358	0	0.000929617	0.011	2578	tags=42%, list=17%, signal=50%
CHR19Q13	507	-0.36976016	-2.0522988	0	0.00135239	0.018	3641	tags=42%, list=24%, signal=53%
CHR11Q12	100	-0.44887018	-2.0194712	0	0.001720595	0.025	4003	tags=38%, list=27%, signal=51%
CHR16Q13	33	-0.54882467	-2.0032024	0	0.001883298	0.03	4145	tags=58%, list=27%, signal=79%
CHR22Q13	118	-0.4193129	-1.9572628	0	0.003504756	0.059	3836	tags=47%, list=25%, signal=63%
CHR1P36	207	-0.38662747	-1.9452531	0	0.003696081	0.067	3072	tags=35%, list=20%, signal=43%
CHR16Q24	52	-0.48370126	-1.9431384	0	0.003598348	0.07	3553	tags=48%, list=24%, signal=63%
CHR22Q12	77	-0.44373098	-1.9073619	0	0.005378467	0.11	3338	tags=43%, list=22%, signal=55%
CHR17Q21	175	-0.37849358	-1.8780438	0	0.00659798	0.142	3885	tags=42%, list=26%, signal=56%
CHR7P22	40	-0.47355127	-1.8194891	0.002564103	0.011730872	0.25	2238	tags=33%, list=15%, signal=38%
CHR6P21	269	-0.34497285	-1.7966617	0	0.013597507	0.298	4394	tags=41%, list=29%, signal=57%
CHR2Q36	28	-0.5081905	-1.773168	0.002386635	0.015683722	0.348	869	tags=29%, list=6%, signal=30%
CHR17Q12	55	-0.43377745	-1.7456404	0	0.019564025	0.426	2698	tags=35%, list=18%, signal=42%
CHR9Q33	46	-0.42773306	-1.7016909	0.005347594	0.026904173	0.56	3547	tags=41%, list=23%, signal=54%
CHRXQ28	81	-0.3882629	-1.6873147	0.002873563	0.028763471	0.598	2814	tags=32%, list=19%, signal=39%
CHR17P13	150	-0.34592712	-1.6792262	0	0.029264653	0.627	4876	tags=51%, list=32%, signal=75%
CHR11P11	45	-0.42792833	-1.6732924	0.010989011	0.029035652	0.637	4370	tags=51%, list=29%, signal=72%
CHR11Q25	10	-0.63524264	-1.6563603	0.018099548	0.03180472	0.679	3480	tags=50%, list=23%, signal=65%
CHR4P16	80	-0.37398487	-1.638147	0	0.035452534	0.73	3428	tags=40%, list=23%, signal=51%
CHR7P13	28	-0.45450336	-1.5825046	0.019559903	0.051362995	0.865	1860	tags=32%, list=12%, signal=37%
CHR3P21	179	-0.32164317	-1.5806589	0	0.050025344	0.867	3281	tags=34%, list=22%, signal=42%
CHR16Q22	95	-0.34321433	-1.5469242	0.003076923	0.06206478	0.922	3554	tags=36%, list=24%, signal=47%
