Curated Gene Symbol	Gene Symbol	Description	Category
SOX4	SOX4	SOX4 – SRY (sex determining region Y) – box 4	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
ADM	ADM	ADM – Adrenomedullin	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CIR1	CIR	CIR – CBF1 interacting corepressor	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
GEM	GEM	GEM – GTP binding protein	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
TNFSF9	TNFSF9	TNFSF9 – 4-1BB ligand	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
IL6	IL6	IL6 – Interleukin 6	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CXCL3	CXCL3	CXCL3 – GRO3, MIP2 beta	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CXCL1	CXCL1	CXCL1 – GRO1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CXCL3	CXCL3	CXCL3 – GRO3, MIP2 beta	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
IL1A	IL1A	IL1A – Interleukin 1 alpha	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
	SOSTM1	SOSTM1 – Sequestosome 1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
ARFGAP3	ARFGAP3	ARFGAP3 – ADP-ribosylation factor GTPase activating protein 3	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
NFKBIA	NFKBIA	NFKBIA – IkB alpha	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
DTX2	DTX2	DTX2 – Deltex homolog 2	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
SLC11A2	SLC11A2	SLC11A2 – Solute carrier family 11	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
H3F3B	H3F3B	H3F3B – H3 Histone, family 3B	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
MAPK6	MAPK6	MAPK6 – mitogen-activated protein kinase 6	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
OGDH	OGDH	OGDH – Oxoglutarate dehydrogenase	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
BAI3	BAI3	BAI3 – Brain-specific angiogenesis inhibitor 3	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
	LOC440309	LOC440309	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CSF2	CSF2	CSF2 – Colony stimulating factor 2 (granulocyte-macrophage)	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
NR3C1	NR3C1	NR3C1 – Nuclear receptor subfamily 3	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
	APA1S2	APA1S2 – Adaptor-related protein complex 1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
YWHAZ	YWHAZ	YWHAZ – Tyrosine 3-monooxygenase	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
TFPI2	TFPI2	TFPI2 – Tissue factor pathway inhibitor 2	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
PTS	PTS	PTS – 6-pyruvoyltetrahydropterin synthase	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
STK17A	STK17A	STK17A – Serine/threonine kinase 17a	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
TBCA	TBCA	TBCA – Tubulin-specific chaperon a	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
OSGIN2	C8orf1	C8orf1 – Chromosome 8 open reading frame 1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
OSGIN2	C8orf1	C8orf1 – Chromosome 8 open reading frame 1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
RHCG	RHCG	RHCG – Rhesus blood group, C glycoprotein	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CA11	CA11	CA11 – Carbonic anhydrase XI	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
RPS15A	RPS15A	RPS15A – Ribosomal protein S15a	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
TKTL1	TKTL1	TKTL1 – Transketolase-like 1	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
TRPC1	TRPC1	TRPC1 – Transient receptor potential cation channel, subfamily C	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
CHST15	GALNAC4S-6ST	GALNAC4S-6ST – B cell RAG associated protein	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
DUSP6	DUSP6	DUSP6 – Dual specificity phosphatase 6	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
AREG	AREG	AREG - Amphyregulin	Similar to tripartite motif-containing 16; estrogen-responsive B box protein
