Probe Set ID	Gene Title	Gene Symbol	1wk C57BL/6	1wk C3H/HeN	1wk IL-10 KO	2 wk C57BL/6	2 wk C3H/HeN	2 wk IL-10 KO	4wk C57BL/6	4wk C3H/HeN	4wk IL-10 KO	Category
1417141_at	IFN- -induced GTPase	Igtp	NC	128	NC	7.1	16	49	NC	3.6	49	IFN-inducible genes
1417793_at	IFN-inducible GTPase 2	Iigp2	NC	123	2.4	4.8	12	35	NC	2.6	38	IFN-inducible genes
1419042_at	IFN-inducible GTPase 1	Iigp1	NC	113	2.5	12	16	62	2.4	5.3	86	IFN-inducible genes
1449009_at	T cell-specific GTPase	Tgtp	NC	42	2.5	7.5	14	72	2.1	5.3	77	IFN-inducible genes
1438676_at	Macrophage activation 2 like	Mpa21	NC	36	NC	4.1	3.6	31	NC	NC	36	IFN-inducible genes
1418825_at	IFN-inducible protein 1	Ifi1	NC	35	NC	3.6	3.3	32	NC	NC	34	IFN-inducible genes
1419714_at	CD274 Ag	Cd274	NC	33	NC	5.3	5.1	53	NC	NC	57	IFN-inducible genes
1416016_at	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	Tap1	NC	15	2.0	6.4	5.8	34	2.1	2.6	35	IFN-inducible genes
1418240_at	Guanylate nucleotide-binding protein 2	Gbp2	NC	12	2.8	12	4.1	72	2.6	2.1	71	IFN-inducible genes
1450696_at	Proteosome (prosome, macropain) subunit, type 9 (large multifunctional protease 2)	Psmb9	NC	11	NC	6.5	7.9	40	2.4	3.6	45	IFN-inducible genes
1453196_a_at	2 –5 oligoadenylate synthetase-like 2	Oasl2	NC	4.4	4.2	2.8	NC	29	NC	NC	33	IFN-inducible genes
1450034_at	Signal transducer and activator of transcription 1	Stat1	NC	23	2.1	3.0	5.2	24	NC	NC	39	Signaling molecules
1448436_a_at	IFN regulatory factor 1	Irf1	NC	4.5	NC	2.7	2.5	15	NC	NC	16	Signaling molecules
1417244_a_at	IFN regulatory factor 7	Irf7	NC	4.0	2.1	2.2	NC	18	NC	NC	16	Signaling molecules
1416714_at	IFN regulatory factor 8	Irf8	NC	3.8	NC	4.9	4.0	15	2.5	NC	15	Signaling molecules
1418131_at	SAM domain and HD domain, 1	Samhd1	NC	4.7	NC	4.0	6.0	24	NC	2.5	21	Signaling molecules
1418265_s_at	IFN regulatory factor 2	Irf2	NC	NC	NC	NC	NC	NC	NC	NC	2.1	Signaling molecules
1451564_at	Poly(ADP-ribose) polymerase family, member 14	Parp14	NC	7.3	NC	2.9	3.2	15	NC	NC	16	Other
1429947_a_at	Z-DNA-binding protein 1	Zbp1	NC	5.3	NC	4.9	3.4	40	NC	2.1	47	Other
1438855_x_at	TNF,  -induced protein 2	Tnfaip2	NC	4.5	NC	NC	2.0	5.1	NC	NC	6.2	Other
1424921_at	Bone marrow stromal cell Ag 2	Bst2	NC	3.8	NC	2.7	2.1	11	NC	NC	13	Other
