Gene Name	Fold-change
IGKC	15.5
IGL@	12.31
IGKC	1.12E+01
LOC440871	9.92
Unknown	9.21E+00
IGKV3-20	8.92
LOC440871	8.81E+00
Unknown	8.7
LOC652493	8.67
CXCL9	8.52
IGL	8.43
LIPT1	8.1
MS4A1	7.87
LOC96610	7.78
LOC100290481	7.49
Unknown	7.48
LOC100132941	7.32
IGKC	7.06
IGLC1	7.01
Unknown	6.86
KIAA1632	6.56
CCL23	6.56
Unknown	6.04
IGLC1	5.98
POU2AF1	5.95
STAT1	5.48
Unknown	5.23
GBP4	5.19
GBP1	5.1
IL7R	5.09
Unknown	5.08
LOC642838	5.08
LYZ	4.97
CXCL10	4.89
UBD	4.78
GBP5	4-Jan
IGKC	4.61
Unknown	4.57
PTPRC	4.57
LOC100293559	4.53
IGKV3-20	4.5
IGLC1	4.45
LOC100289290	4.44
LOC100287372	4.39
OCLN	4.36
IL23A	4.10E+00
GZMA	4.07
GBP3	4.06
CXCL11	4.02
BMS1P4	4
GPR171	3.99
Unknown	3.9
TDR @	3.88
PSMB9	3.86
LOC642424	3.8
LOC100130100	3.8
IL7R	3.74
IGF2	3.73
MAFG	3.72
CD48	3.65
CCR2	3.64
ISG20	3.63
GIMAP5	3.61
CD74	3.59
LCK-	3.58
LTB	3.56
GIMAP6	3.5
IRF4	3.47
GNLY	3.4
IFI44L	3.39
MMP10	3.38
CD247	3.37
LGALS2	3.33
Unknown	3.31
ZNF341	3.27
GIMAP7	3.27
B2M	3.23
FGF19	3.21
STAT1	3.18
ITGAL	3.18
CARD16	3.12
CD2	3.12
ABCC6	3.1
ITM2A	3.07
IGJ	3.07
IGLV6	3.05
HLA-B	3.05
B2M	3.03
FLJ40330	3
ASB16	2.98
P2RX5	2.97
CTSC	2.97
FLJ40330	2.95
CD79A	2.95
CST7	2.95
HLA-DPA1	2.94
LCP1	2.92
ERICH1	2.91
HLA-DRA	2.9
ARL8A	2.9
PVRIG	2.83
IFIT3	2.82
DCC	2.81
HLA-DRA	2.81
HLA-G	2.81
Unknown	2.8
CD19	2.79
KDM2A	2.77
TBC1D10C	2.76
HLA-DRB5	2.76
IRF8	2.75
Unknown	2.73
GMFG	2.71
HLA-DQA2	2.71
GZMB	2.71
HLA-DRB1	2.7
PLEK	2.68
IFI30	2.67
IL4I1	2.67
PARP14	2.67
OASL	2.67
IL2RB	2.66
IGKC	2.64
PLAC8	2.62
MGC29506	2.62
HLA-E	2.6
CCL21	2.6
SLC25A11	2.59
CYFIP2	2.58
IFI16	2.57
Unknown	2.57
GMFG	2.57
PACRG	2.56
HOXC6	2.55
IRF1	2.55
HLA-L	2.54
NKG7	2.54
Unknown	2.54
CASP1	2.53
FKBP11	2.52
FAM173A	2.49
VNN2	2.49
ZDHHC2	2.48
HLA-H	2.48
TARP	2.47
PSMB8	2.46
TAP1	2.45
PIM2	2.44
AIF1	2.43
Unknown	2.42
HLA-F	2.42
PLTP	2.41
FYB	2.4
HLA-DMA	2.4
CNN2	2.4
EPSTI1	2.4
Unknown	2.4
TRAF3IP3	2.39
LOC440839	2.39
WIPF1	2.39
CYBB	2.38
ARHGAP25	2.38
IGKC	2.38
HLA-L	2.38
TFEC	2.37
RPS27	2.37
NCF1	2.36
POU2F2	2.35
EMB	2.35
ICAM3	2.34
GIMAP4	2.33
HLA-G	2.33
Unknown	2.32
SLAMF1	2.31
EVI2B	2.3
SP110	2.3
DNAJC5G	2.3
NYNRIN	2.29
MBP	2.28
SIT1	2.28
ROBO4	2.28
SP140	2.28
APOBEC3G	2.27
PRKCB	2.27
BTG1	2.27
TMEM149	2.26
MIR155HG	2.26
AIM2	2.26
WARS	2.26
IGKC	2.23
LILRB2	2.22
PSME2	2.22
HLA-C	2.2
ARHGAP9	2.2
TNFSF13B	2.2
PPP1R16B	2.19
Unknown	2.19
RPS27	2.17
IFIT5	2.16
IL21R	2.16
SMARCC2	2.15
IGKV1D-8	2.14
Unknown	2.13
PPP1R9B	2.13
APOE	2.13
NR1H3	2.12
LILRB2	2.12
HLA-G	2.11
DOK2	2.1
LILRB4	2.1
TNFRSF9	2.09
SLAMF8	2.09
AOAH	2.09
PAG1	2.08
LAIR1	2.07
Unknown	2.07
SAMD3	2.06
FLJ31306	2.05
C1QB	2.05
Unknown	2.05
MCL1	2.03
CD53	2.03
CCR7	2.02
CD8A	2.01
GPR89B	2
Unknown	2
APOL3	2
PPA1	2
GIMAP2	2
RPS27	1.99
CCDC108	1.99
Unknown	1.99
STAT2	1.98
HTATIP2	1.93
PPP1R3F	1.93
SAMSN1	1.93
NFKBIL2	1.92
Unknown	1.92
C5orf20	1.92
CTLA4	1.91
ZAP70	1.91
EFR3A	1.91
DNAH	1.9
IL15RA	1.9
OS9	1.9
PSME1	1.9
SAMHD1	1.9
Unknown	1.9
C1QA	1.88
TAGAP	1.87
ICAM2	1.87
RPL26	1.87
LOC100128203	1.85
