GeneName	GeneSymbol	adj.P.Val	FC
small nucleolar RNA, C/D box 14D	LOC85391	4.36E-11	2.37
small nucleolar RNA, H/ACA box 20	SNORA20	3.55E-05	2.21
small nucleolar RNA, C/D box 14C	LOC85389	1.12E-06	2
RNA, U4 small nuclear 2	RNU4-2	3.18E-03	1.89
RNA, U5E small nuclear	RNU5E	3.53E-04	1.78
small nucleolar RNA, H/ACA box 23	SNORA23	2.22E-03	1.72
small Cajal body-specific RNA 10	SCARNA10	5.48E-04	1.71
small nucleolar RNA, H/ACA box 22	SNORA22	5.28E-05	1.62
small nucleolar RNA, C/D box 60	SNORD60	3.48E-04	1.59
small nucleolar RNA, H/ACA box 49	SNORA49	1.11E-03	1.57
small nucleolar RNA, H/ACA box 4	SNORA4	5.09E-04	1.54
small nucleolar RNA, C/D box 28	SNORD28	4.11E-04	1.53
small nucleolar RNA, C/D box 4B	SNORD4B	8.25E-05	1.51
small nucleolar RNA, H/ACA box 24	SNORA24	2.35E-04	1.51
small nucleolar RNA, H/ACA box 61	SNORA61	7.97E-05	1.5
small nucleolar RNA, H/ACA box 1	SNORA1	4.00E-04	1.5
small Cajal body-specific RNA 6	SCARNA6	7.02E-04	1.49
small nucleolar RNA, H/ACA box 68	SNORA68	1.10E-03	1.49
small nucleolar RNA, C/D box 94	SNORD94	4.25E-03	1.49
small nucleolar RNA, H/ACA box 29	SNORA29	3.53E-04	1.49
small nucleolar RNA, C/D box 58A	SNORD58A	2.00E-03	1.47
small nucleolar RNA, C/D box 82	SNORD82	4.18E-03	1.47
small nucleolar RNA, C/D box 34	SNORD34	1.94E-04	1.46
small nucleolar RNA, C/D box 15B	SNORD15B	3.18E-03	1.45
RNA, U2 small nuclear 1	RNU2-1	3.54E-02	1.45
small nucleolar RNA, C/D box 41	SNORD41	4.73E-04	1.45
small nucleolar RNA, C/D box 8	SNORD8	2.22E-03	1.44
small nucleolar RNA, H/ACA box 8	SNORA8	5.13E-05	1.43
small nucleolar RNA, C/D box 26	SNORD26	2.31E-04	1.42
small nucleolar RNA, C/D box 76	SNORD76	1.58E-02	1.41
small nucleolar RNA, C/D box 5	SNORD5	8.77E-05	1.41
small nucleolar RNA, H/ACA box 21	SNORA21	1.95E-03	1.41
small Cajal body-specific RNA 5	SCARNA5	4.33E-04	1.4
small Cajal body-specific RNA 7	SCARNA7	5.66E-03	1.4
small nuclear ribonucleoprotein polypeptide N	SNRPN	4.09E-02	1.4
small nucleolar RNA, H/ACA box 14A	SNORA14A	5.13E-03	1.39
small nucleolar RNA, C/D box 49A	SNORD49A	4.32E-04	1.39
small nucleolar RNA, C/D box 80	SNORD80	1.88E-02	1.39
small nucleolar RNA, H/ACA box 40	SNORA40	7.34E-04	1.39
small nucleolar RNA, C/D box 63	SNORD63	3.95E-04	1.38
small nucleolar RNA, C/D box 50A	SNORD50A	3.43E-02	1.38
small nucleolar RNA, C/D box 29	SNORD29	5.88E-03	1.38
small nucleolar RNA, H/ACA box 3	SNORA3	6.60E-03	1.38
small nucleolar RNA, C/D box 104	SNORD104	8.35E-03	1.38
small nucleolar RNA, C/D box 54	SNORD54	4.42E-03	1.37
small nucleolar RNA, C/D box 46	SNORD46	1.27E-03	1.37
small nucleolar RNA, C/D box 32A	SNORD32A	4.01E-03	1.36
small nucleolar RNA, C/D box 74	SNORD74	5.67E-05	1.36
small nucleolar RNA, H/ACA box 28	SNORA28	2.09E-03	1.34
RNA, U4 small nuclear 1	RNU4-1	1.80E-02	1.34
small nucleolar RNA, C/D box 35A	SNORD35A	1.32E-04	1.33
small nucleolar RNA, C/D box 78	SNORD78	1.93E-02	1.33
small nucleolar RNA, C/D box 68	SNORD68	9.42E-03	1.32
small nucleolar RNA, C/D box 61	SNORD61	5.88E-03	1.32
small Cajal body-specific RNA 13	SCARNA13	1.92E-02	1.31
small nucleolar RNA, C/D box 6	SNORD6	9.02E-04	1.31
small nucleolar RNA, C/D box 57	SNORD57	5.20E-04	1.31
