Correlation	Affymtetrix Probe	Description	Gene
positive	201022_s_at	destrin (actin depolymerizing factor)	DSTN
positive	203072_at	myosin IE	MYO1E
positive	208089_s_at	tudor domain containing 3	TDRD3
positive	204338_s_at	regulator of G-protein signaling 4	RGS4
positive	220719_at	hypothetical protein FLJ13769	FLJ13769
positive	212039_x_at	ribosomal protein L3	RPL3
positive	211073_x_at	ribosomal protein L3	RPL3
positive	201217_x_at	ribosomal protein L3	RPL3
positive	208538_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	ANP32C
negative	217434_at	melanocortin 2 receptor (adrenocorticotropic hormone)	MC2R
negative	216143_at	MRNA; cDNA DKFZp434L092 (from clone DKFZp434L092)
negative	221306_at	G protein-coupled receptor 27	GPR27
negative	204544_at	Hermansky-Pudlak syndrome 5	HPS5
negative	208885_at	lymphocyte cytosolic protein 1 (L-plastin)	LCP1
