Accession No.	Gene Name
NM_203339.1	Clusterin
NM_176791.3	Gametocyte specific factor 1-like
NM_173357.2	Synovial sarcoma, × breakpoint 6 (Pseudogene)
NM_144701.2	Interleukin-23 receptor
NM_080618.2	CCCTC-binding factor (zinc finger protein)-like
NM_032598.3	Spermatogenesis associated 22
NM_012253.2	Transkelotase-like 1
NM_006001.1	Tubulin alpha 3C
