# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1423566_a_at|1423566_a_at	mgi_symbol|Hsp110|Hsp110
affy_mouse430_2|1447728_x_at|1447728_x_at	mgi_symbol|Hspa9a|Hspa9a
affy_mouse430_2|1436332_at|1436332_at	mgi_symbol|Hspb6|Hspb6
affy_mouse430_2|1451632_a_at|1451632_a_at	mgi_symbol|Igh-1a|Igh-1a
affy_mouse430_2|1425324_x_at|1425324_x_at	mgi_symbol|Igh-4|Igh-4
affy_mouse430_2|1427351_s_at|1427351_s_at	mgi_symbol|Igh-6|Igh-6
affy_mouse430_2|1424631_a_at|1424631_a_at	mgi_symbol|Ighg|Ighg
affy_mouse430_2|1441317_x_at|1441317_x_at	mgi_symbol|Jakmip1|Jakmip1
affy_mouse430_2|1416676_at|1416676_at	mgi_symbol|Kng1|Kng1
affy_mouse430_2|1460651_at|1460651_at	mgi_symbol|Lat|Lat
affy_mouse430_2|1429088_at|1429088_at	mgi_symbol|Lbh|Lbh
affy_mouse430_2|1416752_at|1416752_at	mgi_symbol|Ldb3|Ldb3
affy_mouse430_2|1419135_at|1419135_at	mgi_symbol|Ltb|Ltb
affy_mouse430_2|1458297_s_at|1458297_s_at	mgi_symbol|Marco|Marco
affy_mouse430_2|1451203_at|1451203_at	mgi_symbol|Mb|Mb
affy_mouse430_2|1441987_at|1441987_at	mgi_symbol|Mbd5|Mbd5
affy_mouse430_2|1460462_at|1460462_at	mgi_symbol|Med18|Med18
affy_mouse430_2|1424233_at|1424233_at	mgi_symbol|Meox2|Meox2
affy_mouse430_2|1418589_a_at|1418589_a_at	mgi_symbol|Mlf1|Mlf1
affy_mouse430_2|1438654_x_at|1438654_x_at	mgi_symbol|Mmd2|Mmd2
affy_mouse430_2|1420488_at|1420488_at	mgi_symbol|Mrps14|Mrps14
affy_mouse430_2|1438843_x_at|1438843_x_at	mgi_symbol|Mtch2|Mtch2
affy_mouse430_2|1455736_at|1455736_at	mgi_symbol|Mybpc2|Mybpc2
affy_mouse430_2|1427520_a_at|1427520_a_at	mgi_symbol|Myh1|Myh1
affy_mouse430_2|1425153_at|1425153_at	mgi_symbol|Myh2|Myh2
affy_mouse430_2|1427026_at|1427026_at	mgi_symbol|Myh4|Myh4
affy_mouse430_2|1458368_at|1458368_at	mgi_symbol|Myh8|Myh8
affy_mouse430_2|1448371_at|1448371_at	mgi_symbol|Mylpf|Mylpf
affy_mouse430_2|1420693_at|1420693_at	mgi_symbol|Myom1|Myom1
