Time course	Cytokines	Accession number	4 hours pi	1 day pi	7 days pi
3 time points	MIP-1-alpha (CCL3)	M23452	++ (++)	+ (+)	+ (++)
	MIP-1-beta (CCL4)	J04130	+ (++)	+ (+)	+ (++)
2 time points	IL-8 (CXCL8)	Y00787	-	+	+
1 time point	SCYA-1 (CCL1)	M57502	+++	-	-
	BCA-1 (CXC)	AJ002211	-	+	-
	MIG (CXCL9)	X72755	-	++	-
	IP-10 (CXCL10)	X02530	-	++	-
	MCP-1 (CCL2)	M24545	-	-	+
	MIP-2-alpha (CXCL2)	X53799	-	-	+
