Gene name	P	P/C	validation	Fold Change	validation
BIRC5	1.5	21.39	Yes	3.59	Yes
BUB1B	-	21.36	No	3.88	No
CCNB1	-	21.17	Yes	3.44	Yes
CDKN1A	-	3.32	Yes	20.61	Yes
CDKN3	-	21.27	Yes	2.44	Yes
DLG7	1.27	21.23	Yes	3.89	Yes
FOXM1	-	21.54	Yes	-	-
LGALS3BP	-	21.72	Yes	0.74	Yes
MAD2L1	1.53	-	No	3.55	Yes
RACGAP	1.01	21.22	No	2.12	No
