MicroRNA	CAH vs Control	EEC vs CAH	EEC vs Control
hsa-miR-141	1.2	3.90E+00	4.8
hsa-miR-146a	1	6.90E+00	7.1
hsa-miR-18a	2.29E+01	4.40E+00	1.5
hsa-miR-200a	1.2	4.90E+00	6.1
hsa-miR-200b	1.1	5.90E+00	6.6
hsa-miR-200b	1.6	2.90E+00	4.6
hsa-miR-200c	21	4.30E+00	4.2
hsa-miR-203	21.1	6.20E+00	5.4
hsa-miR-205	6.6	2.30E+00	15.3
hsa-miR-210	1.2	5.70E+00	6.7
hsa-miR-421	21.5	4.00E+00	2.8
hsa-miR-429	1.1	6.20E+00	6.8
hsa-miR-516a-5p	4.4	2.36E+01	1.2
hsa-miR-605	21.7	4.2	2.4
hsa-miR-614	4.5	22.8	1.6
hsa-miR-9	1.3	4	5.1
hsa-miR-9	2.3	3.5	8.2
hsa-miR-936	4.2	23	1.4
hsa-miR-96	21.1	4.3	3.8
