Gene name	Description
SLC7A7	Solute carrier family 7 [Y?+?L amino acid transporter 1 (y(+)L-type amino acid transporter 1)]
TMEM81	Transmembrane protein 81 (TMEM81)
NENF	Neudesin precursor (Neuron-derived neurotrophic factor).
CPNE2	Copine-2 (Copine II)
GPX3	Glutathione peroxidase 3 precursor
FAM22G	Protein FAM22G precursor
KIR2DL1	Killer cell immunoglobulin-like receptor 3DL2 precursor (MHC class I NK cell receptor)
IARS2	Isoleucyl-tRNA synthetase, mitochondrial precursor
DPP8	Dipeptidyl peptidase 8
FMO1	Flavin-containing monooxygenase 1
