DAVID term (biology)	Agilent probe ID	Entrez gene ID	Gene symbol	Gene name
Defense response	A_23_P16384	199713	NALP7	NLR family, pyrin domain containing 7
Defense response	A_23_P502464	4843	NOS2A	Nitric oxide synthase 2, inducible
Defense response	A_23_P26965	6357	CCL13	Chemokine (C-C motif) ligand 13
Defense response	A_23_P215484	10344	CCL26	Chemokine (C-C motif) ligand 26
Defense response	A_24_P334130	2335	FN1	Fibronectin 1
Defense response	A_23_P24870	960	CD44	CD44 molecule (Indian blood group)
Defense response	A_23_P22660	10800	CYSLTR1	Cysteinyl leukotriene receptor 1
Defense response	A_24_P12573	10344	CCL26	Chemokine (C-C motif) ligand 26
Defense response	A_23_P25354	23676	P2RX7	Purinergic receptor P2X, ligand-gated ion channel, 7
Defense response	A_23_P143331	650	BMP2	Bone morphogenetic protein 2
Defense response	A_23_P209954	10578	GNLY	Granulysin
Defense response	A_23_P119295	51295	ECSIT	ECSIT homolog (Drosophila)
