Curated Gene Symbol	Gene
A2M	A2M
ABLIM1	ABLIM1
	Adult hemoglobin
AFP	AFP
	AFP-cyclopeptide
	Albumin
	Alpha1-globin
	Alpha-synuclein
	Alpha-synuclein filaments
	Ankyrin-B
	Asporin
	BChE
	BCKD-E2
BEX1	BEX1
	C1qRp
PNISR	C6orf111
	Calgranulin A
	Carboxypeptidase H
CD24	CD24
COL9A3	COL9A3
	Collagen II
	Collagen IX
	Collagen XI
	Collagen XXI, alpha 1
CXADR	CXADR
	Cyclin D2
DAPK1	DAPK1
MAP3K12	DLK
	E-cadherin
FGF13	FGF13
FGFR2	FGFR2
FGFR3	FGFR3
FXYD6	FXYD6
	GABT
	Glypican-3
GOLGA8A	Golgin-67
HBB	HBB
HBE1	HBE
HBG1	HBG1
	HBGA
HBZ	HBZ
HMGCS1	HMGCS1
HNRNPA3	HNRPA3
	IGF-2
ITM2A	ITM2A
KLC1	KLC1
GPM6B	M6B
MEG3	MEG3
MTSS1	MTSS1
MYL4	MYL4
	Myosin II
NCAM1	NCAM1
NFIB	NFIB
	Non-A beta of AD amyloid
	OGT (GlcNAc transferase)
	Osteoglycin
NREP	P311
CDKN1C	p57
PEG10	Peg10
PEG3	PEG3
	Pleiotrophin
PGF	PLGF
PTCH1	PTCH1
	PTPR-delta
RBP1	RBP1
	Reelin
	Reep1
	RNase 1
	Selenoprotein P
	SPARCL
SULT1E1	SULT1E1
TK2	TK2
CADM1	TSLC1
WSB1	WSB1
XIST	XIST
