Probe Set ID	Gene Symbol	Corrected p-value	Regulation (Cerebellum vsCerebrum)
221920_s_at	SLC25A37	0.001879857	up
200732_s_at	PTP4A1	0.002580542	down
205348_s_at	DYNC1I1	0.002580542	down
207658_s_at	FOXG1	0.002580542	down
204915_s_at	SOX11	0.003197463	down
211737_x_at	PTN	0.003197463	up
209392_at	ENPP2	0.003432727	up
204437_s_at	FOLR1	0.00374268	up
213496_at	LPPR4	0.00374268	down
221086_s_at	FEZF2	0.00374268	down
221234_s_at	BACH2	0.00374268	down
213933_at	PTGER3	0.004291766	up
206163_at	MAB21L1	0.005508988	up
206436_at	MPPED1	0.005732996	down
212154_at	SDC2	0.006382928	up
200632_s_at	NDRG1	0.008279206	down
209200_at	MEF2C	0.008279206	down
202517_at	CRMP1	0.008879045	down
204653_at	TFAP2A	0.008879045	up
205549_at	PCP4	0.008879045	up
208029_s_at	LAPTM4B	0.008879045	up
209170_s_at	GPM6B	0.008879045	up
209496_at	RARRES2	0.008879045	up
209842_at	SOX10	0.008879045	up
216962_at	RPAIN	0.008879045	up
220010_at	KCNE1L	0.008879045	up
204249_s_at	LMO2	0.009038139	up
205390_s_at	ANK1	0.009100361	up
212935_at	MCF2L	0.009100361	down
204805_s_at	H1FX	0.009271117	down
210067_at	AQP4	0.00982519	up
200696_s_at	GSN	0.010293018	up
202780_at	OXCT1	0.010293018	up
202934_at	HK2	0.010293018	up
205472_s_at	DACH1	0.010293018	up
206701_x_at	EDNRB	0.010293018	up
207968_s_at	MEF2C	0.010293018	down
208051_s_at	PAIP1	0.010293018	down
209834_at	CHST3	0.010293018	up
211203_s_at	CNTN1	0.010293018	up
212670_at	ELN	0.010293018	up
216733_s_at	GATM	0.010293018	up
220025_at	TBR1	0.010293018	down
221796_at	NTRK2	0.010293018	up
40020_at	CELSR3	0.010293018	down
200795_at	SPARCL1	0.010359859	up
204042_at	WASF3	0.010359859	up
204836_at	GLDC	0.010359859	up
206015_s_at	FOXJ3	0.010359859	down
207981_s_at	ESRRG	0.010359859	up
213435_at	SATB2	0.010359859	down
213779_at	EMID1	0.010359859	down
209355_s_at	PPAP2B	0.010543	up
205471_s_at	DACH1	0.010651883	up
203787_at	SSBP2	0.01079806	down
204187_at	GMPR	0.01079806	up
209242_at	PEG3	0.01079806	up
213385_at	CHN2	0.01079806	down
215146_s_at	TTC28	0.01079806	down
200782_at	ANXA5	0.010848995	up
204069_at	MEIS1	0.010848995	up
