Gene	HR
DEXI	3.1
TRAP1	1.9
HIST3H2A	1.7
RPL13P12	3.4
RPL13	5.4
RPS20	3.8
ATIC	1.9
EIF3H	2.7
NENF	2.6
RPL8	2.3
RBMX	2.5
PRMT5	1.8
PCBD1	1.8
FDPS	2.2
DAP3	2.3
LAS1L	1.9
C15orf44	2.9
RAN	1.8
TRMT1	1.7
UTP14A	1.6
SNRPE	1.9
RPL13	3.8
SNRPB	1.7
PUS1	2
RUVBL1	1.5
PUF60	1.9
RPL13	4.1
NUP93	1.8
PPIE	2.1
RPL36A	2.4
EIF3F	2.4
CCT7	2
HSPC152	2.1
ERI3	1.9
TTC27	1.6
PMPCA	2.1
EIF3D	2.2
RUVBL2	1.7
TDP1	1.8
MRPL24	1.9
KARS	2.2
PPIE	1.9
LIG3	2.1
RPL31	3.3
RPL10A	2.3
RPL30	3.2
RPL4	2.2
C8orf55	1.6
RPL4	2.2
DDX1	1.7
RPS20	4.4
TIMM10	1.9
LGTN	2
RPS19	2.5
RPL13	3
MPHOSPH10	2.2
AOF2	1.8
NHP2L1	1.9
CENPN	1.4
PHB2	1.9
RNASEH2A	1.5
ADSL	1.6
COX4NB	1.8
FXC1	2.3
ENY2	1.8
NBAS	2.5
TBRG4	1.7
EIF4EBP1	1.4
TBCB	1.6
POLR2C	2.1
Magmas	1.8
RPP40	1.5
PCCB	1.7
GTPBP4	1.6
TH1L	1.5
UMPS	1.8
RPS15	2.2
TRMT1	1.7
IPO5	1.5
CKAP5	1.8
EIF3E	1.9
PES1	1.9
SNRPC	2.2
MRPL15	1.6
NHP2	1.7
SMARCC1	1.5
RPP21	1.9
RPL6	2.6
APEX1	1.6
TMEM147	1.6
NSUN5	1.7
CNPY3	1.6
CIAPIN1	2
HMGA1	1.4
BCAT2	1.6
RPL18	2.2
POP5	1.8
CSNK1A1	0.6
MED20	1.6
CCT3	1.6
INTS8	1.7
COPS5	1.7
RPS19	2.4
SQLE	1.3
POLR2G	1.8
MEST	1.3
SNRPD2	1.6
RPS18	3.1
RRP12	1.7
PKN2	0.8
PHB	1.5
PTK2B	0.6
MRPL13	1.6
DGUOK	2.2
STOML2	1.5
EEF1G	2.6
ELP3	1.9
RPL32	3
HMBS	1.8
MOSC1	1.6
HTRA2	1.9
M10098_5_at	0.9
NDUFA13	1.7
DDX28	2
NME1	1.4
INTS5	1.9
CSE1L	1.4
ADSL	1.6
CSTF2	1.9
PTRH2	1.6
RPL24	2.2
DDX31	1.7
MMS19	1.7
WDR74	1.6
SQLE	1.4
POLR2I	1.5
RDBP	1.5
NOP56	1.4
TJP3	0.8
RPS21	1.8
EHF	0.8
NOL7	1.6
TUFM	1.7
LANCL2	1.5
ANAPC5	1.6
SMARCA4	1.6
RNF8	1.8
EMG1	1.5
PACSIN3	1.7
THAP11	1.9
PA2G4	1.7
PSMD4	1.8
C10orf2	1.5
E2F5	1.4
