miRNA	Ratio, fetal/adult tissue Heart	Ratio, fetal/adult tissue Skeletal muscle
hsa-miR-19b	0.607097442	0.69495911
hsa-miR-28-5p	0.289673577	0.726986259
hsa-miR-100	0.817902059	1.558329159
hsa-miR127-3p	6.727171322	88.64700596
hsa-miR-136	5.098242509	225.5807266
hsa-miR-148a	1.928527877	15.8345065
hsa-miR-192	1.321033147	1.37236731
hsa-miR-335	0.379805666	6.090947489
hsa-miR-374a	0.450625231	0.864537231
hsa-miR-376c	6.200996177	654.8406176
hsa-miR-489	0.086419458	13.22320509
hsa-miR-502-3p	0.652176035	4.316912946
