Classifier	Regulation	hsa-hsa-mirNA	Score (d)	Fold Change (Log2)
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-126	3.3573	1.1254
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-801	2.9677	1.1186
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-202	2.5751	1.0943
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-652	2.422	1.1037
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-765	2.39	1.0878
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-199a	2.202	1.0805
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-let-7b	2.1392	1.0969
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-320	2.135	1.077
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-423	2.107	1.0959
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-494	2.0096	1.073
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-198	1.9655	1.086
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-mir-210	1.9576	1.0712
(a) Melanocytes (NM) vs. melanomas (M)	Over-expressed hsa-miRNAs in melanomas (M)	hsa-let-7c	1.9328	1.0885
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-192	-4.3102	0.8213
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-let-7i	-3.1769	0.8704
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-454	-2.9765	0.9087
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-194	-2.9367	0.8633
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-602	-2.882	0.8754
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-211	-2.881	0.8509
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-15b	-2.8594	0.9157
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-582	-2.842	0.8758
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-132	-2.8076	0.8878
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-30e	-2.7793	0.9094
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-374	-2.7791	0.909
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-10a	-2.0774	0.935
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-10b	-2.0028	0.9225
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-9	-2.0018	0.9164
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-509	-1.9736	0.8998
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-98	-1.9647	0.9308
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-26b	-1.9319	0.923
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-196a	-1.9087	0.9068
(a) Melanocytes (NM) vs. melanomas (M)	Under-expressed hsa-miRNAs in melanomas (M)	hsa-mir-324	-1.8957	0.924
(b) BRAF mut vs (BRAF + NRAS) wt	Under-expressed hsa-miRNAs in BRAF mut	hsa-mir-193a	-2.1193	0.9312
(b) BRAF mut vs (BRAF + NRAS) wt	Under-expressed hsa-miRNAs in BRAF mut	hsa-mir-565	-2.0832	0.9091
(b) BRAF mut vs (BRAF + NRAS) wt	Under-expressed hsa-miRNAs in BRAF mut	hsa-mir-338	-1.9664	0.9147
(c) BRAF mut vs BRAF wt	Under-expressed hsa-miRNAs in BRAF mut	hsa-hsa-mir-565	-2.488	0.9193
(d) NRAS mut vs (BRAF + NRAS) wt	Under-expressed hsa-miRNAs in NRAS mut	hsa-hsa-mir-663	-2.4663	0.9316
