Curated Gene Symbol	Symbol	Gene	Fold Change
FOXF1	FOXF1	Forkhead box F1; tumor suppressor	7.3
MNX1	HLXB9	Homeo box HB9	3.3
	D4S234E	DNA segment chromosome 4	4.9
NPTX1	NPTX1	Neuronal pentraxin I	6.2
FOXF2	FOXF2	Forkhead box F2	4.9
PCDH11X	PCDH11	Protocadherin 11 X-linked	6.1
EN2	EN2	Engrailed homolog 2	3.8
NPTXR	NPTXR	Neuronal pentraxin receptor	3.8
