Curated miRBase	ER-	ER+	p value	FDR	Feature
hsa-miR-224	3.1	1.1	0.001	0.047	hsa_miR_224
hsa-miR-342	76.8	143.1	0.001	0.047	hsa_miR_342
hsa-miR-186	2.1	1.2	0.003	0.128	hsa_miR_186
hsa-let-7c	737.4	1073.4	0.006	0.164	hsa_let_7c
hsa-miR-362	1.4	1	0.006	0.164	hsa_miR_362
hsa-miR-146a	23.3	6.8	0.009	0.215	hsa_miR_146a
hsa-miR-345	1.5	1.1	0.011	0.218	hsa_miR_345
hsa-miR-491	5.1	2.3	0.016	0.266	hsa_miR_491
hsa-let-7b	641.5	934.4	0.017	0.266	hsa_let_7b
hsa-let-7a	678.8	948.9	0.024	0.34	hsa_let_7a
hsa-miR-20b	8.1	3.1	0.029	0.34	hsa_miR_20b
hsa-miR-181b	12.2	5.2	0.031	0.34	hsa_miR_181b
hsa-miR-130b	4.4	2.2	0.033	0.34	hsa_miR_130b
hsa-miR-452	1.7	1.1	0.035	0.34	hsa_miR_452
hsa-miR-429	2.1	1.3	0.038	0.34	hsa_miR_429
hsa-miR-181d	3.5	1.8	0.041	0.34	hsa_miR_181d
hsa-miR-155	7.9	3.3	0.042	0.34	hsa_miR_155
hsa-miR-148a	22.5	10.5	0.043	0.34	hsa_miR_148a
hsa-miR-92	10.4	4.8	0.047	0.351	hsa_miR_92
