Detector	Control CT	EV CT	Delta CT
hsa-miR-140-5p	40	29.244352	-10.755648
hsa-miR-144	40	29.612235	-10.387765
hsa-miR-148a	40	30.510315	-9.489685
hsa-miR-335	40	30.744087	-9.255913
hsa-miR-143	40	30.9916675	-9.0083325
hsa-miR-301a	40	31.074846	-8.925154
hsa-miR-20a	37.001904	28.2154145	-8.7864895
hsa-miR-18a	40	31.801099	-8.198901
hsa-miR-30d	40	32.1146865	-7.8853135
hsa-miR-206	39.950573	32.11225	-7.838323
hsa-miR-455-5p	40	32.20135	-7.79865
hsa-miR-545	40	32.3205835	-7.6794165
hsa-miR-362-3p	40	32.38362	-7.61638
hsa-miR-30d	39.290356	31.6896715	-7.6006845
hsa-miR-597	40	32.633091	-7.366909
hsa-miR-411	40	32.683133	-7.316867
hsa-miR-142-5p	40	32.7064325	-7.2935675
hsa-miR-598	40	32.942952	-7.057048
hsa-miR-495	40	32.964624	-7.035376
hsa-miR-203	40	33.09473	-6.90527
hsa-miR-7-1	40	33.709775	-6.290225
hsa-miR-221	40	33.782725	-6.217275
hsa-miR-451	34.14391	27.9434225	-6.2004875
hsa-miR-625	40	33.847151	-6.152849
hsa-miR-27a	40	33.994321	-6.005679
hsa-miR-494	40	34.1465765	-5.8534235
hsa-miR-487b	40	34.1857335	-5.8142665
hsa-miR-375	40	34.2327425	-5.7672575
hsa-miR-532-5p	40	34.330086	-5.669914
hsa-miR-324-3p	38.23021	32.655647	-5.574563
hsa-miR-136	40	34.537484	-5.462516
hsa-miR-152	40	34.560728	-5.439272
hsa-miR-181a-2	40	34.6257305	-5.3742695
hsa-miR-193a-5p	40	34.664383	-5.335617
hsa-miR-628-3p	33.434464	28.274765	-5.159699
hsa-miR-127-3p	40	34.956069	-5.043931
hsa-miR-18a	40	34.960003	-5.039997
hsa-miR-130a	40	35.1377145	-4.8622855
hsa-miR-26a	34.220043	29.4816245	-4.7384185
hsa-miR-760	40	35.306527	-4.693473
hsa-miR-224	40	35.3279745	-4.6720255
hsa-miR-27a	38.017735	33.364575	-4.65316
hsa-miR-628-3p	32.814377	28.1905365	-4.6238405
hsa-miR-590-5p	34.94651	30.426086	-4.520424
hsa-miR-148b	40	35.5633185	-4.4366815
hsa-miR-130b	40	35.604336	-4.395664
hsa-miR-125b	40	35.6213045	-4.3786955
hsa-let-7c	40	35.628001	-4.371999
hsa-miR-132	40	35.6732605	-4.3267395
hsa-miR-328	32.338818	28.0569785	-4.2818395
hsa-miR-99b	40	35.736438	-4.263562
hsa-miR-27b	40	35.7633055	-4.2366945
hsa-miR-145	40	35.78121	-4.21879
hsa-miR-215	40	35.8133105	-4.1866895
hsa-miR-223	24.434948	20.25359	-4.181358
hsa-miR-671-3p	40	35.908311	-4.091689
hsa-miR-340	40	35.909588	-4.090412
hsa-miR-101	40	35.9210805	-4.0789195
hsa-miR-19b-1	40	35.926043	-4.073957
hsa-miR-345	34.202553	30.18966	-4.012893
hsa-miR-93	32.10533	28.1209995	-3.9843305
hsa-miR-29c	35.906925	31.989865	-3.91706
hsa-miR-661	40	36.1383685	-3.8616315
hsa-miR-100	40	36.1795385	-3.8204615
hsa-miR-10a	40	36.1904165	-3.8095835
hsa-miR-26b	40	36.2154695	-3.7845305
hsa-miR-296-5p	40	36.238394	-3.761606
hsa-miR-95	40	36.264795	-3.735205
hsa-miR-218	40	36.2689115	-3.7310885
hsa-miR-134	36.378952	32.666142	-3.71281
hsa-miR-15a	40	36.317316	-3.682684
hsa-miR-521	40	36.348787	-3.651213
hsa-miR-20b	31.977255	28.4120845	-3.5651705
hsa-miR-214	40	36.44346	-3.55654
