# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|75828|75828	mgi_symbol|Hormad2|Hormad2
entrezgene|21946|21946	mgi_symbol|Pglyrp1|Pglyrp1
entrezgene|12235|12235	mgi_symbol|Bub1|Bub1
entrezgene|11555|11555	mgi_symbol|Adrb2|Adrb2
entrezgene|229841|229841	mgi_symbol|Cenpe|Cenpe
entrezgene|14121|14121	mgi_symbol|Fbp1|Fbp1
entrezgene|22177|22177	mgi_symbol|Tyrobp|Tyrobp
entrezgene|68026|68026	mgi_symbol|2810417H13Rik|2810417H13Rik
entrezgene|22612|22612	mgi_symbol|Yes1|Yes1
entrezgene|223433|223433	mgi_symbol|Fam105a|Fam105a
entrezgene|111507|111507	mgi_symbol|Igh|Igh
entrezgene|236727|236727	mgi_symbol|Slc9a7|Slc9a7
entrezgene|72391|72391	mgi_symbol|Cdkn3|Cdkn3
entrezgene|212032|212032	mgi_symbol|Hk3|Hk3
entrezgene|16803|16803	mgi_symbol|Lbp|Lbp
entrezgene|16004|16004	mgi_symbol|Igf2r|Igf2r
entrezgene|231932|231932	mgi_symbol|Gimap7|Gimap7
entrezgene|12765|12765	mgi_symbol|Il8rb|Il8rb
entrezgene|24017|24017	mgi_symbol|Rnf13|Rnf13
entrezgene|270084|270084	mgi_symbol|Lpcat2|Lpcat2
entrezgene|16571|16571	mgi_symbol|Kif4|Kif4
entrezgene|17079|17079	mgi_symbol|Cd180|Cd180
entrezgene|237911|237911	mgi_symbol|Brip1|Brip1
entrezgene|16351|16351	mgi_symbol|Ipp|Ipp
entrezgene|320586|320586	mgi_symbol|A630089N07Rik|A630089N07Rik
entrezgene|67121|67121	mgi_symbol|Mastl|Mastl
entrezgene|195046|195046	mgi_symbol|Nlrp1a|Nlrp1a
entrezgene|68743|68743	mgi_symbol|Anln|Anln
entrezgene|268291|268291	mgi_symbol|Rnf217|Rnf217
entrezgene|15002|15002	mgi_symbol|H2-Ob|H2-Ob
entrezgene|108000|108000	mgi_symbol|Cenpf|Cenpf
entrezgene|56615|56615	mgi_symbol|Mgst1|Mgst1
entrezgene|226101|226101	mgi_symbol|Myof|Myof
entrezgene|12532|12532	mgi_symbol|Cdc25c|Cdc25c
entrezgene|16162|16162	mgi_symbol|Il12rb2|Il12rb2
entrezgene|17999|17999	mgi_symbol|Nedd4|Nedd4
entrezgene|100044195|100044195	mgi_symbol|LOC100044195|LOC100044195
entrezgene|241633|241633	mgi_symbol|Atp8b4|Atp8b4
entrezgene|52033|52033	mgi_symbol|Pbk|Pbk
entrezgene|432466|432466	mgi_symbol|Gm5424|Gm5424
entrezgene|19361|19361	mgi_symbol|Rad51|Rad51
entrezgene|67652|67652	mgi_symbol|Spaca1|Spaca1
entrezgene|21815|21815	mgi_symbol|Tgif1|Tgif1
entrezgene|211651|211651	mgi_symbol|Fancd2|Fancd2
entrezgene|78826|78826	mgi_symbol|P2ry10|P2ry10
entrezgene|72873|72873	mgi_symbol|2900006K08Rik|2900006K08Rik
entrezgene|209334|209334	mgi_symbol|Gen1|Gen1
entrezgene|52662|52662	mgi_symbol|D18Ertd653e|D18Ertd653e
entrezgene|12484|12484	mgi_symbol|Cd24a|Cd24a
entrezgene|626391|626391	mgi_symbol|C230055K05Rik|C230055K05Rik
entrezgene|105352|105352	mgi_symbol|Dusp22|Dusp22
entrezgene|68166|68166	mgi_symbol|Spire1|Spire1
entrezgene|73804|73804	mgi_symbol|Kif2c|Kif2c
entrezgene|30948|30948	mgi_symbol|Bin1|Bin1
entrezgene|16031|16031	mgi_symbol|Igh-Ia|Igh-Ia
entrezgene|100702|100702	mgi_symbol|Mpa2l|Mpa2l
entrezgene|380820|380820
entrezgene|67865|67865	mgi_symbol|Rgs10|Rgs10
entrezgene|102566|102566	mgi_symbol|Ano10|Ano10
entrezgene|83925|83925	mgi_symbol|Trps1|Trps1
entrezgene|76459|76459	mgi_symbol|Car12|Car12
entrezgene|107684|107684	mgi_symbol|Coro2a|Coro2a
entrezgene|224132|224132	mgi_symbol|Dirc2|Dirc2
entrezgene|66616|66616	mgi_symbol|Snx9|Snx9
entrezgene|15366|15366	mgi_symbol|Hmmr|Hmmr
entrezgene|12346|12346	mgi_symbol|Car1|Car1
entrezgene|71409|71409	mgi_symbol|Fmnl2|Fmnl2
entrezgene|12236|12236	mgi_symbol|Bub1b|Bub1b
entrezgene|66977|66977	mgi_symbol|Nuf2|Nuf2
entrezgene|12534|12534	mgi_symbol|Cdc2a|Cdc2a
entrezgene|12488|12488	mgi_symbol|Cd2ap|Cd2ap
entrezgene|75530|75530	mgi_symbol|Lyrm7|Lyrm7
entrezgene|217692|217692	mgi_symbol|Sipa1l1|Sipa1l1
entrezgene|26458|26458	mgi_symbol|Slc27a2|Slc27a2
entrezgene|104307|104307	mgi_symbol|Rnu12|Rnu12
entrezgene|76131|76131	mgi_symbol|Depdc1a|Depdc1a
entrezgene|12615|12615	mgi_symbol|Cenpa|Cenpa
entrezgene|209737|209737	mgi_symbol|Kif15|Kif15
entrezgene|66423|66423	mgi_symbol|2410022L05Rik|2410022L05Rik
entrezgene|12606|12606	mgi_symbol|Cebpa|Cebpa
entrezgene|52552|52552	mgi_symbol|Parp8|Parp8
entrezgene|19373|19373	mgi_symbol|Rag1|Rag1
entrezgene|108907|108907	mgi_symbol|Nusap1|Nusap1
entrezgene|270757|270757	mgi_symbol|Bpil2|Bpil2
entrezgene|15900|15900	mgi_symbol|Irf8|Irf8
entrezgene|260301|260301	mgi_symbol|Otos|Otos
entrezgene|17427|17427	mgi_symbol|Mns1|Mns1
entrezgene|213391|213391	mgi_symbol|Rassf4|Rassf4
entrezgene|69885|69885	mgi_symbol|2610002D18Rik|2610002D18Rik
entrezgene|414084|414084	mgi_symbol|Tnip3|Tnip3
entrezgene|50874|50874	mgi_symbol|Tmod4|Tmod4
entrezgene|17025|17025	mgi_symbol|Alad|Alad
entrezgene|67052|67052	mgi_symbol|Ndc80|Ndc80
entrezgene|12499|12499	mgi_symbol|Entpd5|Entpd5
entrezgene|76933|76933	mgi_symbol|Ifi27l2a|Ifi27l2a
entrezgene|26408|26408	mgi_symbol|Map3k5|Map3k5
entrezgene|74100|74100	mgi_symbol|Arpp21|Arpp21
