Gene	Abbreviation	Location	CGH Loss %	Median Tumor Expression vs Nevi	Aza Fold Upregulation
Chordin-like 1	CHRDL1	Xq23	-13.2	0.15	1.7
Secreted frizzled-related protein 1	SFRP1	8p12	-12.3	0.17	1.72
Transmembrane protein 47	TMEM47	Xp11	-13.5	0.08	1.29
Transcription factor 8	ZEB1	10p11	-20.8	0.33	1.85
Lipoprotein lipase	LPL	8p22	-13.2	0.32	1.28
Retinoic acid receptor responder 1	RARRES1	3q25	-19.8	0.46	1.74
Phosphatidylinositol-specific phospholipase C, X domain containing 1	PLCXD1	Xp22	-16	0.41	1.32
Zinc finger protein 22	KOX 15	10q11	-24.5	0.43	1.29
