# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.111894|Hs.111894	hgnc_symbol|LAPTM4A|LAPTM4A
unigene|Hs.108080|Hs.108080	hgnc_symbol|CSRP1|CSRP1



unigene|Hs.90606|Hs.90606	hgnc_symbol|15-Sep|15-Sep
unigene|Hs.89230|Hs.89230	hgnc_symbol|KCNN3|KCNN3
unigene|Hs.8752|Hs.8752	hgnc_symbol|CNPY2|CNPY2
unigene|Hs.83916|Hs.83916	hgnc_symbol|NDUFA5|NDUFA5
unigene|Hs.82961|Hs.82961	hgnc_symbol|TFF3|TFF3
unigene|Hs.8110|Hs.8110	hgnc_symbol|HADH|HADH
unigene|Hs.79033|Hs.79033	hgnc_symbol|QPCT|QPCT
unigene|Hs.76293|Hs.76293	hgnc_symbol|TMSB10|TMSB10
unigene|Hs.76118|Hs.76118	hgnc_symbol|UCHL1|UCHL1
unigene|Hs.75375|Hs.75375	hgnc_symbol|MDH1|MDH1
unigene|Hs.75305|Hs.75305	hgnc_symbol|AIP|AIP
unigene|Hs.75090|Hs.75090	hgnc_symbol|TRIM9|TRIM9
unigene|Hs.750|Hs.750	hgnc_symbol|FBN1|FBN1
unigene|Hs.74621|Hs.74621	hgnc_symbol|PRNP|PRNP
unigene|Hs.7457|Hs.7457	hgnc_symbol|MAGED4|MAGED4
unigene|Hs.73793|Hs.73793	hgnc_symbol|VEGFA|VEGFA
unigene|Hs.69855|Hs.69855	hgnc_symbol|CSDE1|CSDE1
unigene|Hs.6527|Hs.6527	hgnc_symbol|GPR56|GPR56
unigene|Hs.6353|Hs.6353	hgnc_symbol|MORF4L1|MORF4L1
unigene|Hs.61976|Hs.61976
unigene|Hs.54451|Hs.54451	hgnc_symbol|LAMC2|LAMC2
unigene|Hs.49767|Hs.49767	hgnc_symbol|NDUFS6|NDUFS6
unigene|Hs.433413|Hs.433413	hgnc_symbol|ERH|ERH
unigene|Hs.418083|Hs.418083	hgnc_symbol|RBP4|RBP4
unigene|Hs.416495|Hs.416495	hgnc_symbol|TMEM59|TMEM59
unigene|Hs.406404|Hs.406404	hgnc_symbol|HNRNPD|HNRNPD
unigene|Hs.406096|Hs.406096	hgnc_symbol|ZFAND5|ZFAND5
unigene|Hs.4055|Hs.4055
unigene|Hs.400250|Hs.400250	hgnc_symbol|S100A10|S100A10
unigene|Hs.394389|Hs.394389	hgnc_symbol|PPIB|PPIB
unigene|Hs.389700|Hs.389700	hgnc_symbol|MGST1|MGST1
unigene|Hs.339697|Hs.339697	hgnc_symbol|VPS28|VPS28
unigene|Hs.33122|Hs.33122	hgnc_symbol|ISY1|ISY1
unigene|Hs.3280|Hs.3280	hgnc_symbol|CASP6|CASP6
unigene|Hs.303649|Hs.303649	hgnc_symbol|CCL2|CCL2
unigene|Hs.301552|Hs.301552	hgnc_symbol|RAP1GAP2|RAP1GAP2
unigene|Hs.29696|Hs.29696	hgnc_symbol|TMEM106A|TMEM106A
unigene|Hs.295944|Hs.295944	hgnc_symbol|TFPI2|TFPI2
unigene|Hs.291904|Hs.291904	hgnc_symbol|BCAP31|BCAP31
unigene|Hs.285681|Hs.285681	hgnc_symbol|MLXIPL|MLXIPL
unigene|Hs.28491|Hs.28491	hgnc_symbol|SAT1|SAT1
unigene|Hs.284292|Hs.284292	hgnc_symbol|UQCR10|UQCR10
unigene|Hs.283655|Hs.283655	hgnc_symbol|LYPLA2|LYPLA2
unigene|Hs.28149|Hs.28149
unigene|Hs.274485|Hs.274485
unigene|Hs.274279|Hs.274279
unigene|Hs.272630|Hs.272630	hgnc_symbol|ATP6V1D|ATP6V1D
unigene|Hs.263812|Hs.263812	hgnc_symbol|NUDC|NUDC
unigene|Hs.256697|Hs.256697	hgnc_symbol|HINT1|HINT1
unigene|Hs.2384|Hs.2384	hgnc_symbol|TPD52|TPD52
unigene|Hs.23528|Hs.23528
unigene|Hs.23449|Hs.23449
unigene|Hs.203910|Hs.203910	hgnc_symbol|SGTA|SGTA
unigene|Hs.19597|Hs.19597
unigene|Hs.191381|Hs.191381
unigene|Hs.183583|Hs.183583	hgnc_symbol|SERPINB1|SERPINB1
unigene|Hs.181391|Hs.181391
unigene|Hs.181271|Hs.181271	hgnc_symbol|COPZ1|COPZ1
unigene|Hs.179600|Hs.179600	hgnc_symbol|CNP|CNP
unigene|Hs.172684|Hs.172684	hgnc_symbol|VAMP8|VAMP8
unigene|Hs.171626|Hs.171626	hgnc_symbol|SKP1|SKP1
unigene|Hs.168670|Hs.168670	hgnc_symbol|PEX19|PEX19
unigene|Hs.166468|Hs.166468	hgnc_symbol|PDCD5|PDCD5
unigene|Hs.16297|Hs.16297	hgnc_symbol|COX17|COX17
unigene|Hs.151734|Hs.151734	hgnc_symbol|NUTF2|NUTF2
unigene|Hs.150763|Hs.150763	hgnc_symbol|ERO1LB|ERO1LB
unigene|Hs.12477|Hs.12477	hgnc_symbol|SNAP91|SNAP91
unigene|Hs.11125|Hs.11125	hgnc_symbol|SPCS1|SPCS1
unigene|Hs.107979|Hs.107979	hgnc_symbol|TMEM50A|TMEM50A
unigene|Hs.106357|Hs.106357	hgnc_symbol|VCP|VCP









unigene|Hs.99969|Hs.99969	hgnc_symbol|FUS|FUS
unigene|Hs.9950|Hs.9950	hgnc_symbol|SEC61G|SEC61G
unigene|Hs.9711|Hs.9711
unigene|Hs.9598|Hs.9598	hgnc_symbol|SEMA4B|SEMA4B
unigene|Hs.93675|Hs.93675	hgnc_symbol|C10orf10|C10orf10
unigene|Hs.93235|Hs.93235	hgnc_symbol|MNF1|MNF1
unigene|Hs.9195|Hs.9195	hgnc_symbol|RAPGEF1 /// RASGRF2|RAPGEF1 /// RASGRF2
unigene|Hs.91773|Hs.91773	hgnc_symbol|PPP2CA|PPP2CA
unigene|Hs.90753|Hs.90753	hgnc_symbol|HTATIP2|HTATIP2
unigene|Hs.9006|Hs.9006	hgnc_symbol|VAPA|VAPA
unigene|Hs.89474|Hs.89474	hgnc_symbol|ARF6|ARF6
unigene|Hs.89404|Hs.89404	hgnc_symbol|MSX2|MSX2
unigene|Hs.88556|Hs.88556	hgnc_symbol|HDAC1|HDAC1
unigene|Hs.8737|Hs.8737	hgnc_symbol|WDR6|WDR6
unigene|Hs.85573|Hs.85573	hgnc_symbol|PSMG3|PSMG3
unigene|Hs.848|Hs.848	hgnc_symbol|FKBP4|FKBP4
unigene|Hs.84162|Hs.84162	hgnc_symbol|RBM15B|RBM15B
unigene|Hs.83469|Hs.83469	hgnc_symbol|NFE2L1|NFE2L1
unigene|Hs.82927|Hs.82927	hgnc_symbol|AMPD2|AMPD2
unigene|Hs.82432|Hs.82432	hgnc_symbol|GPD1L|GPD1L
unigene|Hs.82208|Hs.82208	hgnc_symbol|ACADVL|ACADVL
unigene|Hs.82043|Hs.82043	hgnc_symbol|CDC123|CDC123
unigene|Hs.81118|Hs.81118	hgnc_symbol|LTA4H|LTA4H
unigene|Hs.8015|Hs.8015	hgnc_symbol|USP21|USP21
unigene|Hs.78977|Hs.78977	hgnc_symbol|PCSK1|PCSK1
unigene|Hs.78909|Hs.78909	hgnc_symbol|ZFP36L2|ZFP36L2
unigene|Hs.7869|Hs.7869
unigene|Hs.78614|Hs.78614	hgnc_symbol|C1QBP|C1QBP
unigene|Hs.77899|Hs.77899	hgnc_symbol|TPM1|TPM1
unigene|Hs.77735|Hs.77735	hgnc_symbol|FBRS|FBRS
unigene|Hs.77508|Hs.77508	hgnc_symbol|GLUD1|GLUD1
unigene|Hs.77496|Hs.77496	hgnc_symbol|SNRPG|SNRPG
unigene|Hs.77060|Hs.77060	hgnc_symbol|PSMB6|PSMB6
unigene|Hs.75969|Hs.75969	hgnc_symbol|PNRC1|PNRC1
unigene|Hs.75884|Hs.75884
unigene|Hs.75782|Hs.75782	hgnc_symbol|GTF3C2|GTF3C2
unigene|Hs.75562|Hs.75562	hgnc_symbol|DDR1|DDR1
unigene|Hs.75510|Hs.75510	hgnc_symbol|ANXA11|ANXA11
unigene|Hs.75470|Hs.75470	hgnc_symbol|IFI44L|IFI44L
unigene|Hs.75432|Hs.75432	hgnc_symbol|IMPDH2|IMPDH2
unigene|Hs.75412|Hs.75412	hgnc_symbol|MANF|MANF
unigene|Hs.75137|Hs.75137	hgnc_symbol|SCRN1|SCRN1
