miRNA	Fold change by microarray	Gene location
hsa-miR-17	2.43 +/- 0.26	13q31.3
hsa-miR-20a	2.73 +/- 0.57	13q31.3
hsa-miR-20b	2.29 +/- 0.25	Xq26.2
hsa-miR-106a	2.61 +/- 0.44	Xq26.2
hsa-miR-31	-2.37 +/- 0.39	9q21.3
hsa-miR-125a-5p	-3.32 +/- 1.65	19q13.33
hsa-miR-125b	-2.67 +/- 0.70	11q24.1
hsa-miR-193a-3p	-2.28 +/- 0.11	17q11.2
