Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Aiba	ESC(iPS)	SGL	11891	Rab27a
Aiba	ESC(iPS)	SGL	11932	Atp1b2
Aiba	ESC(iPS)	SGL	11941	Atp2b2
Aiba	ESC(iPS)	SGL	11944	Atp4a
Aiba	ESC(iPS)	SGL	11989	Slc7a3
Aiba	ESC(iPS)	SGL	11997	Akr1b7
Aiba	ESC(iPS)	SGL	12006	Axin2
Aiba	ESC(iPS)	SGL	12021	Bard1
Aiba	ESC(iPS)	SGL	12029	Bcl6b
Aiba	ESC(iPS)	SGL	12036	Bcat2
Aiba	ESC(iPS)	SGL	12040	Bckdhb
Aiba	ESC(iPS)	SGL	12049	Bcl2l10
Aiba	ESC(iPS)	SGL	12069	Bex2
Aiba	ESC(iPS)	SGL	12124	Bik
Aiba	ESC(iPS)	SGL	12144	Blm
Aiba	ESC(iPS)	SGL	12162	Bmp7
Aiba	ESC(iPS)	SGL	12182	Bst1
Aiba	ESC(iPS)	SGL	12189	Brca1
Aiba	ESC(iPS)	SGL	12190	Brca2
Aiba	ESC(iPS)	SGL	12224	Klf5
Aiba	ESC(iPS)	SGL	12236	Bub1b
Aiba	ESC(iPS)	SGL	12310	Calca
Aiba	ESC(iPS)	SGL	12311	Calcr
Aiba	ESC(iPS)	SGL	12316	Aspm
Aiba	ESC(iPS)	SGL	12323	Camk2b
Aiba	ESC(iPS)	SGL	12335	Capn3
Aiba	ESC(iPS)	SGL	12348	Car11
Aiba	ESC(iPS)	SGL	12349	Car2
Aiba	ESC(iPS)	SGL	12350	Car3
Aiba	ESC(iPS)	SGL	12351	Car4
Aiba	ESC(iPS)	SGL	12352	Car5a
Aiba	ESC(iPS)	SGL	12396	Cbfa2t2
Aiba	ESC(iPS)	SGL	12411	Cbs
Aiba	ESC(iPS)	SGL	12426	Cckbr
Aiba	ESC(iPS)	SGL	12427	Ccna1
Aiba	ESC(iPS)	SGL	12447	Ccne1
Aiba	ESC(iPS)	SGL	12449	Ccnf
Aiba	ESC(iPS)	SGL	12550	Cdh1
Aiba	ESC(iPS)	SGL	12587	Mia1
Aiba	ESC(iPS)	SGL	12590	Cdx1
Aiba	ESC(iPS)	SGL	12591	Cdx2
Aiba	ESC(iPS)	SGL	12592	Cdx4
Aiba	ESC(iPS)	SGL	12614	Celsr1
Aiba	ESC(iPS)	SGL	12627	Cfc1
Aiba	ESC(iPS)	SGL	12649	Chek1
Aiba	ESC(iPS)	SGL	12652	Chga
Aiba	ESC(iPS)	SGL	12683	Cidea
Aiba	ESC(iPS)	SGL	12702	Socs3
Aiba	ESC(iPS)	SGL	12705	Cited1
Aiba	ESC(iPS)	SGL	12716	Ckmt1
Aiba	ESC(iPS)	SGL	12739	Cldn3
Aiba	ESC(iPS)	SGL	12740	Cldn4
Aiba	ESC(iPS)	SGL	12741	Cldn5
Aiba	ESC(iPS)	SGL	12745	Clgn
Aiba	ESC(iPS)	SGL	12752	Cln3
Aiba	ESC(iPS)	SGL	12759	Clu
Aiba	ESC(iPS)	SGL	12790	Cnga3
Aiba	ESC(iPS)	SGL	12808	Cobl
Aiba	ESC(iPS)	SGL	12812	Coil
Aiba	ESC(iPS)	SGL	12817	Col13a1
Aiba	ESC(iPS)	SGL	12822	Col18a1
Aiba	ESC(iPS)	SGL	12840	Col9a2
Aiba	ESC(iPS)	SGL	12845	Comp
Aiba	ESC(iPS)	SGL	12865	Cox7a1
Aiba	ESC(iPS)	SGL	12889	Cplx1
Aiba	ESC(iPS)	SGL	12905	Cradd
Aiba	ESC(iPS)	SGL	12922	Crhr2
Aiba	ESC(iPS)	SGL	12959	Cryba4
Aiba	ESC(iPS)	SGL	12966	Crygc
Aiba	ESC(iPS)	SGL	12967	Crygd
Aiba	ESC(iPS)	SGL	12968	Cryge
Aiba	ESC(iPS)	SGL	12969	Crygf
