Functional classification	Gene description	Gene symbol	Fold Change	Gen Bank ID
immune response	Rep:CD274 molecule CD274, mRNA-Homo sapiens	CD274	2.648947	EW655654
immune response	Sus scrofa complement component C6	C6	2.660923	NM_001097449
immune response	Sus scrofa lymphocyte cytosolic protein 2	LCP2	2.461111	AK230876
immune response	Rep:Sus scrofa tumor necrosis factor superfamily member 18 mRNA	TNFSF18	2.5221772	DQ995649
immune response	Sus scrofa interleukin 2 receptor, alpha	IL2RA	3.3108058	NM_213835
immune response	Sus scrofa C-type lectin domain family 5, member A	CLEC5A	4.702034	NM_213990
immune response	Sus scrofa interferon stimulited exonuclease gene 20 kDa	ISG20	2.1768405	NM_001005351
immune response	Sus scrofa MHC class II DR-alpha (SLA-DRA)	SLA-DRA	2.0392556	NM_001113706.1
immune response	Sus scrofa secreted phosphoprotein 1	SPP1	3.411632	NM_214023
immune response	Sus scrofa lymphocyte-activation gene 3	LAG3	2.0111256	NM_001105306
