probe	entrezgeneid	coef
204100_at	7067	1
2039 67_at	990	1
203749_s_at	5914	1
201291_s_at	7153	1
201388_at	5709	1
207442_at	1440	1
213043_s_at	9862	1
31637_s_at	9572	1
207842_s_at	22794	1
218657_at	51195	1
212051_at	147179	1
230025_at	125111	1
201508_at	3487	1
230398_at	84951	1
206337_at	1236	1
211988_at	6605	1
