GenBank ID	HUGO_Symbol	Cytoband	Cell line	2log ratio	SAM q-value
AB020637	ENDOD1	11q21	PC346Flu2	0.6	0.158
NM_004117	FKBP5	6p21.3-21.2	PC346Flu2	0.7	0.226
AB042410	GPR88	1p21.3	PC346Flu2	1.9	0
AK025585	PARS2	1p32.2	PC346Flu2	0.8	0.296
NM_019091	PLEKHA3	2q31.2	PC346Flu2	0.7	0.158
NM_002923	RGS2	1q31	PC346Flu2	0.6	0
AK026813	STEAP2	7q21	PC346Flu2	0.6	0.118
D17099			PC346Flu2	0.9	0.926
