Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Mills	GEP	SGL	100039888	LOC100039888
Mills	GEP	SGL	100041985	LOC100041985
Mills	GEP	SGL	100043890	LOC100043890
Mills	GEP	SGL	102545	Cmtm7
Mills	GEP	SGL	106143	Cggbp1
Mills	GEP	SGL	107271	Yars
Mills	GEP	SGL	110379	Sec13
Mills	GEP	SGL	11428	Aco1
Mills	GEP	SGL	11516	Adcyap1
Mills	GEP	SGL	11651	Akt1
Mills	GEP	SGL	11757	Prdx3
Mills	GEP	SGL	11848	Rhoa
Mills	GEP	SGL	11853	Rhoc
Mills	GEP	SGL	12261	C1qbp
Mills	GEP	SGL	12340	Capza1
Mills	GEP	SGL	12452	Ccng2
Mills	GEP	SGL	12457	Ccrn4l
Mills	GEP	SGL	12465	Cct5
Mills	GEP	SGL	12466	Cct6a
Mills	GEP	SGL	12469	Cct8
Mills	GEP	SGL	12567	Cdk4
Mills	GEP	SGL	12609	Cebpd
Mills	GEP	SGL	12630	Cfi
Mills	GEP	SGL	12773	Ccr4
Mills	GEP	SGL	12793	Cnih
Mills	GEP	SGL	12847	Copa
Mills	GEP	SGL	12978	Csf1r
Mills	GEP	SGL	13040	Ctss
Mills	GEP	SGL	13204	Dhx15
Mills	GEP	SGL	13627	Eef1a1
Mills	GEP	SGL	13846	Ephb4
Mills	GEP	SGL	14105	Fusip1
Mills	GEP	SGL	14113	Fbl
Mills	GEP	SGL	14114	Fbln1
Mills	GEP	SGL	14314	Fstl1
Mills	GEP	SGL	14455	Gas5
Mills	GEP	SGL	14635	Galk1
Mills	GEP	SGL	15078	H3f3a
Mills	GEP	SGL	15081	H3f3b
Mills	GEP	SGL	15312	Hmgn1
Mills	GEP	SGL	15331	Hmgn2
Mills	GEP	SGL	15361	Hmga1
Mills	GEP	SGL	15384	Hnrnpab
Mills	GEP	SGL	15415	Hoxb7
Mills	GEP	SGL	15416	Hoxb8
Mills	GEP	SGL	15526	Hspa9
