Gene	Description
Mmp8	matrix metallopeptidase 8
Muc2	mucin 2
TNF-alpha	tumor necrosis factor
MIP2(Cxcl2)	chemokine (C-X-C motif) ligand 2
IFN-gamma	interferon gamma
IL-1beta	interleukin 1 beta
IL-23alpha-p19	interleukin 23, alpha subunit p19
IL-18	interleukin 18
IL-10	interleukin 10
IL-6	interleukin 6
IL-4	interleukin 4
NOS2	nitric oxide synthase 2, inducible
TBP	TATA box binding protein
