# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|219282_s_at|219282_s_at	unigene|Hs.279746|Hs.279746	hgnc_symbol|TRPV2|TRPV2
affy_hg_u133_plus_2|226625_at|226625_at	unigene|Hs.482390|Hs.482390	hgnc_symbol|TGFBR3|TGFBR3
affy_hg_u133_plus_2|226728_at|226728_at	unigene|Hs.363138|Hs.363138	hgnc_symbol|SLC27A1|SLC27A1
affy_hg_u133_plus_2|204975_at|204975_at	unigene|Hs.531561|Hs.531561	hgnc_symbol|EMP2|EMP2
affy_hg_u133_plus_2|201325_s_at|201325_s_at	unigene|Hs.713606|Hs.713606	hgnc_symbol|EMP1|EMP1
affy_hg_u133_plus_2|202756_s_at|202756_s_at	unigene|Hs.328232|Hs.328232	hgnc_symbol|GPC1|GPC1
affy_hg_u133_plus_2|201951_at|201951_at	unigene|Hs.591293|Hs.591293	hgnc_symbol|ALCAM|ALCAM
affy_hg_u133_plus_2|225079_at|225079_at	unigene|Hs.531561|Hs.531561	hgnc_symbol|EMP2|EMP2
affy_hg_u133_plus_2|200623_s_at|200623_s_at	unigene|Hs.643483|Hs.643483	hgnc_symbol|CALM3|CALM3
affy_hg_u133_plus_2|215783_s_at|215783_s_at	unigene|Hs.75431|Hs.75431	hgnc_symbol|ALPL|ALPL
affy_hg_u133_plus_2|201952_at|201952_at	unigene|Hs.591293|Hs.591293	hgnc_symbol|ALCAM|ALCAM
affy_hg_u133_plus_2|215305_at|215305_at	unigene|Hs.74615|Hs.74615	hgnc_symbol|PDGFRA|PDGFRA
affy_hg_u133_plus_2|201137_s_at|201137_s_at	unigene|Hs.485130|Hs.485130	hgnc_symbol|HLA-DPB1|HLA-DPB1
affy_hg_u133_plus_2|230372_at|230372_at	unigene|Hs.159226|Hs.159226	hgnc_symbol|HAS2|HAS2
affy_hg_u133_plus_2|214708_at|214708_at	unigene|Hs.655236|Hs.655236	hgnc_symbol|SNTB1|SNTB1
affy_hg_u133_plus_2|218902_at|218902_at	unigene|Hs.495473|Hs.495473	hgnc_symbol|NOTCH1|NOTCH1
affy_hg_u133_plus_2|210124_x_at|210124_x_at	unigene|Hs.25887|Hs.25887	hgnc_symbol|SEMA4F|SEMA4F
affy_hg_u133_plus_2|203065_s_at|203065_s_at	unigene|Hs.74034|Hs.74034	hgnc_symbol|CAV1|CAV1
affy_hg_u133_plus_2|225867_at|225867_at	unigene|Hs.372579|Hs.372579	hgnc_symbol|VASN|VASN
affy_hg_u133_plus_2|204451_at|204451_at	unigene|Hs.94234|Hs.94234	hgnc_symbol|FZD1|FZD1
affy_hg_u133_plus_2|204462_s_at|204462_s_at	unigene|Hs.75317|Hs.75317	hgnc_symbol|SLC16A2|SLC16A2
affy_hg_u133_plus_2|235518_at|235518_at	unigene|Hs.31961|Hs.31961	hgnc_symbol|SLC8A1|SLC8A1
affy_hg_u133_plus_2|213002_at|213002_at	hgnc_symbol|MARCKS (includes|MARCKS (includes
affy_hg_u133_plus_2|239217_x_at|239217_x_at	unigene|Hs.463421|Hs.463421	hgnc_symbol|ABCC3|ABCC3
affy_hg_u133_plus_2|225093_at|225093_at	unigene|Hs.133135|Hs.133135	hgnc_symbol|UTRN|UTRN
affy_hg_u133_plus_2|212135_s_at|212135_s_at	unigene|Hs.343522|Hs.343522	hgnc_symbol|ATP2B4|ATP2B4
affy_hg_u133_plus_2|212494_at|212494_at	unigene|Hs.6147|Hs.6147	hgnc_symbol|TENC1|TENC1
affy_hg_u133_plus_2|202037_s_at|202037_s_at	unigene|Hs.713546|Hs.713546	hgnc_symbol|SFRP1|SFRP1
affy_hg_u133_plus_2|226571_s_at|226571_s_at	unigene|Hs.712625|Hs.712625	hgnc_symbol|PTPRS (includes|PTPRS (includes
affy_hg_u133_plus_2|208749_x_at|208749_x_at	unigene|Hs.179986|Hs.179986	hgnc_symbol|FLOT1|FLOT1
affy_hg_u133_plus_2|210142_x_at|210142_x_at	unigene|Hs.179986|Hs.179986	hgnc_symbol|FLOT1|FLOT1
affy_hg_u133_plus_2|226189_at|226189_at	unigene|Hs.592171|Hs.592171	hgnc_symbol|ITGB8|ITGB8
affy_hg_u133_plus_2|211600_at|211600_at	unigene|Hs.160871|Hs.160871	hgnc_symbol|PTPRO|PTPRO
affy_hg_u133_plus_2|201809_s_at|201809_s_at	unigene|Hs.76753|Hs.76753	hgnc_symbol|ENG|ENG
affy_hg_u133_plus_2|205532_s_at|205532_s_at	unigene|Hs.171054|Hs.171054	hgnc_symbol|CDH6|CDH6
affy_hg_u133_plus_2|38671_at|38671_at	unigene|Hs.301685|Hs.301685	hgnc_symbol|PLXND1|PLXND1
affy_hg_u133_plus_2|213895_at|213895_at	unigene|Hs.713606|Hs.713606	hgnc_symbol|EMP1|EMP1
affy_hg_u133_plus_2|219250_s_at|219250_s_at	unigene|Hs.41296|Hs.41296	hgnc_symbol|FLRT3|FLRT3
affy_hg_u133_plus_2|209972_s_at|209972_s_at	unigene|Hs.301613|Hs.301613	hgnc_symbol|JTV1|JTV1
affy_hg_u133_plus_2|203908_at|203908_at	unigene|Hs.5462|Hs.5462	hgnc_symbol|SLC4A4|SLC4A4
affy_hg_u133_plus_2|212298_at|212298_at	unigene|Hs.131704|Hs.131704	hgnc_symbol|NRP1|NRP1
affy_hg_u133_plus_2|209815_at|209815_at	unigene|Hs.494538|Hs.494538	hgnc_symbol|PTCH1|PTCH1
affy_hg_u133_plus_2|227955_s_at|227955_s_at	unigene|Hs.288741|Hs.288741	hgnc_symbol|EFNA5|EFNA5
affy_hg_u133_plus_2|227481_at|227481_at	unigene|Hs.16064|Hs.16064	hgnc_symbol|CNKSR3|CNKSR3
affy_hg_u133_plus_2|223092_at|223092_at	unigene|Hs.156727|Hs.156727	hgnc_symbol|ANKH|ANKH
affy_hg_u133_plus_2|222853_at|222853_at	unigene|Hs.41296|Hs.41296	hgnc_symbol|FLRT3|FLRT3
affy_hg_u133_plus_2|233814_at|233814_at	unigene|Hs.288741|Hs.288741	hgnc_symbol|EFNA5|EFNA5
affy_hg_u133_plus_2|223093_at|223093_at	unigene|Hs.156727|Hs.156727	hgnc_symbol|ANKH|ANKH
affy_hg_u133_plus_2|212909_at|212909_at	unigene|Hs.714802|Hs.714802	hgnc_symbol|LYPD1|LYPD1
affy_hg_u133_plus_2|211432_s_at|211432_s_at	unigene|Hs.381282|Hs.381282	hgnc_symbol|TYRO3|TYRO3
affy_hg_u133_plus_2|210602_s_at|210602_s_at	unigene|Hs.171054|Hs.171054	hgnc_symbol|CDH6|CDH6
affy_hg_u133_plus_2|212230_at|212230_at	unigene|Hs.708050|Hs.708050	hgnc_symbol|PPAP2B|PPAP2B
affy_hg_u133_plus_2|219025_at|219025_at	unigene|Hs.195727|Hs.195727	hgnc_symbol|CD248|CD248
affy_hg_u133_plus_2|210510_s_at|210510_s_at	unigene|Hs.131704|Hs.131704	hgnc_symbol|NRP1|NRP1
affy_hg_u133_plus_2|205533_s_at|205533_s_at	unigene|Hs.171054|Hs.171054	hgnc_symbol|CDH6|CDH6
affy_hg_u133_plus_2|204401_at|204401_at	unigene|Hs.10082|Hs.10082	hgnc_symbol|KCNN4|KCNN4
affy_hg_u133_plus_2|203835_at|203835_at	unigene|Hs.151641|Hs.151641	hgnc_symbol|LRRC32|LRRC32
affy_hg_u133_plus_2|212226_s_at|212226_s_at	unigene|Hs.405156|Hs.405156	hgnc_symbol|PPAP2B|PPAP2B
affy_hg_u133_plus_2|208161_s_at|208161_s_at	unigene|Hs.463421|Hs.463421	hgnc_symbol|ABCC3|ABCC3
affy_hg_u133_plus_2|230147_at|230147_at	unigene|Hs.42502|Hs.42502	hgnc_symbol|F2RL2|F2RL2
affy_hg_u133_plus_2|203989_x_at|203989_x_at	unigene|Hs.482562|Hs.482562	hgnc_symbol|F2R|F2R
affy_hg_u133_plus_2|219789_at|219789_at	unigene|Hs.237028|Hs.237028	hgnc_symbol|NPR3|NPR3
affy_hg_u133_plus_2|223094_s_at|223094_s_at	unigene|Hs.156727|Hs.156727	hgnc_symbol|ANKH|ANKH
affy_hg_u133_plus_2|202478_at|202478_at	unigene|Hs.467751|Hs.467751	hgnc_symbol|TRIB2|TRIB2
affy_hg_u133_plus_2|219416_at|219416_at	unigene|Hs.128856|Hs.128856	hgnc_symbol|SCARA3|SCARA3
affy_hg_u133_plus_2|209355_s_at|209355_s_at	unigene|Hs.405156|Hs.405156	hgnc_symbol|PPAP2B|PPAP2B
affy_hg_u133_plus_2|227812_at|227812_at	unigene|Hs.149168|Hs.149168	hgnc_symbol|TNFRSF19|TNFRSF19
affy_hg_u133_plus_2|224762_at|224762_at	unigene|Hs.479384|Hs.479384	hgnc_symbol|SERINC2|SERINC2
affy_hg_u133_plus_2|219790_s_at|219790_s_at	unigene|Hs.237028|Hs.237028	hgnc_symbol|NPR3|NPR3
affy_hg_u133_plus_2|228407_at|228407_at	unigene|Hs.12923|Hs.12923	hgnc_symbol|SCUBE3|SCUBE3
affy_hg_u133_plus_2|201650_at|201650_at	unigene|Hs.514174|Hs.514174	hgnc_symbol|JUP|JUP
affy_hg_u133_plus_2|205066_s_at|205066_s_at	unigene|Hs.527295|Hs.527295	hgnc_symbol|ENPP1|ENPP1
affy_hg_u133_plus_2|206631_at|206631_at	unigene|Hs.2090|Hs.2090	hgnc_symbol|PTGER2|PTGER2
affy_hg_u133_plus_2|224321_at|224321_at	unigene|Hs.144513|Hs.144513	hgnc_symbol|TMEFF2|TMEFF2
affy_hg_u133_plus_2|212558_at|212558_at	unigene|Hs.436944|Hs.436944	hgnc_symbol|SPRY1|SPRY1
affy_hg_u133_plus_2|219937_at|219937_at	unigene|Hs.199814|Hs.199814	hgnc_symbol|TRHDE|TRHDE
affy_hg_u133_plus_2|230290_at|230290_at	unigene|Hs.12923|Hs.12923	hgnc_symbol|SCUBE3|SCUBE3
affy_hg_u133_plus_2|221019_s_at|221019_s_at	unigene|Hs.464422|Hs.464422	hgnc_symbol|COLEC12|COLEC12
