Gene symbol	Gene name	Protein function
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	Catalytic enzyme
ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	Sialyl transferase
B4GALT5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	Galactosyl transferase
ASPHD1	Aspartate beta-hydroxylase domain containing 1	Hydroxylase
EXTL2	Exostoses (multiple)-like 2	Glycosyl transferase
FAP	Fibroblast activation protein, alpha	Extracellular matrix proteolysis
ITM2C	Integral membrane protein 2C	Transmembrane protein
MME	Membrane metalloendopeptidase	Membrane catalytic enzyme
