miRNA ID	R value	P value
hsa-miR-885-5p	? 0.62297	1.06E-07
hsa-miR-1296	? 0.56234	2.93E-06
hsa-miR-128b:9.1	? 0.54378	7.11E-06
hsa-miR-128a:9.1	? 0.54036	8.33E-06
hsa-miR-374b	? 0.51204	2.89E-05
hsa-miR-491-5p	? 0.50894	3.29E-05
hsa-miR-488	? 0.50233	4.32E-05
hsa-miR-874	? 0.49776	5.20E-05
hsa-miR-29c	? 0.49436	5.95E-05
hsa-miR-885-3p	? 0.48367	9.04E-05
hsa-miR-331-3p	? 0.47888	0.000109
hsa-miR-129-3p	? 0.47543	0.000124
hsa-miR-488	? 0.45784	0.000235
hsa-miR-30e	? 0.45633	0.000248
hsa-miR-30c	? 0.45245	0.000284
hsa-miR-181c	? 0.45088	0.0003
hsa-miR-326	? 0.44423	0.000377
hsa-miR-23b	? 0.44104	0.00042
hsa-miR-218	? 0.43347	0.000541
hsa-miR-219-5p	? 0.42864	0.000633
hsa-miR-139-5p	? 0.42652	0.000678
hsa-miR-628-5p	? 0.42017	0.000831
hsa-miR-128	? 0.41749	0.000904
hsa-miR-124	? 0.4144	0.000996
hsa-miR-324-5p	? 0.41384	0.001013
hsa-miR-340	? 0.41312	0.001036
hsa-miR-490-5p	? 0.40931	0.001165
hsa-miR-30 d	? 0.40412	0.001364
hsa-miR-139-3p	? 0.4023	0.00144
hsa-let-7a	? 0.40184	0.00146
hsa-miR-98	? 0.40133	0.001483
