# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|209800_at|209800_at	hgnc_symbol|KRT16|KRT16
affy_hg_u133a|209126_x_at|209126_x_at	hgnc_symbol|KRT6B|KRT6B
affy_hg_u133a|213680_at|213680_at	hgnc_symbol|KRT6B|KRT6B
affy_hg_u133a|209125_at|209125_at	hgnc_symbol|KRT6A|KRT6A
affy_hg_u133a|214580_x_at|214580_x_at	hgnc_symbol|KRT6A|KRT6A
affy_hg_u133a|1438_at|1438_at	hgnc_symbol|EPHB3|EPHB3
affy_hg_u133a|204600_at|204600_at	hgnc_symbol|EPHB3|EPHB3
affy_hg_u133a|218176_at|218176_at	hgnc_symbol|MAGEF1|MAGEF1
affy_hg_u133a|205044_at|205044_at	hgnc_symbol|GABRP|GABRP
affy_hg_u133a|202035_s_at|202035_s_at	hgnc_symbol|SFRP1|SFRP1
affy_hg_u133a|202036_s_at|202036_s_at	hgnc_symbol|SFRP1|SFRP1
affy_hg_u133a|202037_s_at|202037_s_at	hgnc_symbol|SFRP1|SFRP1
affy_hg_u133a|209842_at|209842_at	hgnc_symbol|SOX10|SOX10
affy_hg_u133a|220425_x_at|220425_x_at	hgnc_symbol|ROPN1|ROPN1
affy_hg_u133a|206560_s_at|206560_s_at	hgnc_symbol|MIA|MIA
affy_hg_u133a|209843_s_at|209843_s_at	hgnc_symbol|SOX10|SOX10
affy_hg_u133a|220624_s_at|220624_s_at	hgnc_symbol|ELF5|ELF5
affy_hg_u133a|220625_s_at|220625_s_at	hgnc_symbol|ELF5|ELF5
affy_hg_u133a|212730_at|212730_at	hgnc_symbol|DMN|DMN
affy_hg_u133a|219615_s_at|219615_s_at	hgnc_symbol|KCNK5|KCNK5
affy_hg_u133a|209504_s_at|209504_s_at	hgnc_symbol|PLEKHB1|PLEKHB1
affy_hg_u133a|213260_at|213260_at	hgnc_symbol|FOXC1|FOXC1
affy_hg_u133a|218963_s_at|218963_s_at	hgnc_symbol|KRT23|KRT23
affy_hg_u133a|205487_s_at|205487_s_at	hgnc_symbol|VGLL1|VGLL1
affy_hg_u133a|215729_s_at|215729_s_at	hgnc_symbol|VGLL1|VGLL1
affy_hg_u133a|201650_at|201650_at	hgnc_symbol|KRT19|KRT19
affy_hg_u133a|201596_x_at|201596_x_at	hgnc_symbol|KRT18|KRT18
affy_hg_u133a|209008_x_at|209008_x_at	hgnc_symbol|KRT8|KRT8
affy_hg_u133a|209016_s_at|209016_s_at	hgnc_symbol|KRT7|KRT7
affy_hg_u133a|205980_s_at|205980_s_at	hgnc_symbol|ARHGAP8|ARHGAP8
affy_hg_u133a|37117_at|37117_at	hgnc_symbol|ARHGAP8|ARHGAP8
affy_hg_u133a|203953_s_at|203953_s_at	hgnc_symbol|CLDN3|CLDN3
affy_hg_u133a|203954_x_at|203954_x_at	hgnc_symbol|CLDN3|CLDN3
affy_hg_u133a|201428_at|201428_at	hgnc_symbol|CLDN4|CLDN4
affy_hg_u133a|201839_s_at|201839_s_at	hgnc_symbol|TACSTD1|TACSTD1
affy_hg_u133a|218186_at|218186_at	hgnc_symbol|RAB25|RAB25
affy_hg_u133a|201510_at|201510_at	hgnc_symbol|ELF3|ELF3
affy_hg_u133a|210827_s_at|210827_s_at	hgnc_symbol|ELF3|ELF3
affy_hg_u133a|208650_s_at|208650_s_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|209772_s_at|209772_s_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|208651_x_at|208651_x_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|209771_x_at|209771_x_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|216379_x_at|216379_x_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|266_s_at|266_s_at	hgnc_symbol|CD24|CD24
affy_hg_u133a|204941_s_at|204941_s_at	hgnc_symbol|ALDH3B2|ALDH3B2
affy_hg_u133a|204942_s_at|204942_s_at	hgnc_symbol|ALDH3B2|ALDH3B2
affy_hg_u133a|211110_s_at|211110_s_at	hgnc_symbol|AR|AR
affy_hg_u133a|211621_at|211621_at	hgnc_symbol|AR|AR
affy_hg_u133a|209173_at|209173_at	hgnc_symbol|AGR2|AGR2
affy_hg_u133a|207131_x_at|207131_x_at	hgnc_symbol|GGT1|GGT1
affy_hg_u133a|208284_x_at|208284_x_at	hgnc_symbol|GGT1|GGT1
affy_hg_u133a|209919_x_at|209919_x_at	hgnc_symbol|GGT1|GGT1
affy_hg_u133a|211417_x_at|211417_x_at	hgnc_symbol|GGT1|GGT1
affy_hg_u133a|215603_x_at|215603_x_at	hgnc_symbol|GGT1|GGT1
affy_hg_u133a|211416_x_at|211416_x_at	hgnc_symbol|GGTLA4|GGTLA4
affy_hg_u133a|206463_s_at|206463_s_at	hgnc_symbol|DHRS2|DHRS2
affy_hg_u133a|214079_at|214079_at	hgnc_symbol|DHRS2|DHRS2
affy_hg_u133a|211682_x_at|211682_x_at	hgnc_symbol|UGT2B28|UGT2B28
affy_hg_u133a|206714_at|206714_at	hgnc_symbol|ALOX15B|ALOX15B
affy_hg_u133a|206509_at|206509_at	hgnc_symbol|PIP|PIP
affy_hg_u133a|204667_at|204667_at	hgnc_symbol|FOXA1|FOXA1
affy_hg_u133a|218211_s_at|218211_s_at	hgnc_symbol|MLPH|MLPH
affy_hg_u133a|214451_at|214451_at	hgnc_symbol|TFAP2B|TFAP2B
affy_hg_u133a|204607_at|204607_at	hgnc_symbol|HMGCS2|HMGCS2
affy_hg_u133a|214243_s_at|214243_s_at	hgnc_symbol|SERHL|SERHL
affy_hg_u133a|217276_x_at|217276_x_at	hgnc_symbol|dJ222E13.1|dJ222E13.1
affy_hg_u133a|217284_x_at|217284_x_at	hgnc_symbol|dJ222E13.1|dJ222E13.1
affy_hg_u133a|213441_x_at|213441_x_at	hgnc_symbol|SPDEF|SPDEF
affy_hg_u133a|214404_x_at|214404_x_at	hgnc_symbol|SPDEF|SPDEF
affy_hg_u133a|220192_x_at|220192_x_at	hgnc_symbol|SPDEF|SPDEF
affy_hg_u133a|215686_x_at|215686_x_at	hgnc_symbol|TFAP2B|TFAP2B
affy_hg_u133a|208583_x_at|208583_x_at	hgnc_symbol|HIST1H2AJ|HIST1H2AJ
affy_hg_u133a|208523_x_at|208523_x_at	hgnc_symbol|HIST1H2BI|HIST1H2BI
affy_hg_u133a|209398_at|209398_at	hgnc_symbol|HIST1H1C|HIST1H1C
affy_hg_u133a|208180_s_at|208180_s_at	hgnc_symbol|H4FH|H4FH
affy_hg_u133a|202708_s_at|202708_s_at	hgnc_symbol|HIST2H2BE|HIST2H2BE
affy_hg_u133a|208546_x_at|208546_x_at	hgnc_symbol|HIST1H2BH|HIST1H2BH
affy_hg_u133a|208490_x_at|208490_x_at	hgnc_symbol|HIST1H2BF|HIST1H2BF
affy_hg_u133a|208527_x_at|208527_x_at	hgnc_symbol|HIST1H2BE|HIST1H2BE
affy_hg_u133a|208579_x_at|208579_x_at	hgnc_symbol|H2BFS|H2BFS
affy_hg_u133a|209806_at|209806_at	hgnc_symbol|HIST1H2BK|HIST1H2BK
affy_hg_u133a|209911_x_at|209911_x_at	hgnc_symbol|HIST1H2BD|HIST1H2BD
affy_hg_u133a|222067_x_at|222067_x_at	hgnc_symbol|HIST1H2BD|HIST1H2BD
affy_hg_u133a|214290_s_at|214290_s_at	hgnc_symbol|HIST2H2AA|HIST2H2AA
affy_hg_u133a|218280_x_at|218280_x_at	hgnc_symbol|HIST2H2AA|HIST2H2AA
affy_hg_u133a|215071_s_at|215071_s_at	hgnc_symbol|HIST1H2AC|HIST1H2AC
affy_hg_u133a|210387_at|210387_at	hgnc_symbol|HIST1H2BG|HIST1H2BG
affy_hg_u133a|215779_s_at|215779_s_at	hgnc_symbol|HIST1H2BG|HIST1H2BG
affy_hg_u133a|214469_at|214469_at	hgnc_symbol|HIST1H2AE|HIST1H2AE
affy_hg_u133a|214455_at|214455_at	hgnc_symbol|H2BFL|H2BFL
affy_hg_u133a|203980_at|203980_at	hgnc_symbol|FABP4|FABP4
affy_hg_u133a|205913_at|205913_at	hgnc_symbol|PLIN|PLIN
affy_hg_u133a|207175_at|207175_at	hgnc_symbol|ADIPOQ|ADIPOQ
affy_hg_u133a|209612_s_at|209612_s_at	hgnc_symbol|ADH1B|ADH1B
affy_hg_u133a|209613_s_at|209613_s_at	hgnc_symbol|ADH1B|ADH1B
affy_hg_u133a|206488_s_at|206488_s_at	hgnc_symbol|CD36|CD36
affy_hg_u133a|209555_s_at|209555_s_at	hgnc_symbol|CD36|CD36
affy_hg_u133a|209763_at|209763_at	hgnc_symbol|CHRDL1|CHRDL1
affy_hg_u133a|202766_s_at|202766_s_at	hgnc_symbol|FBN1|FBN1
affy_hg_u133a|207172_s_at|207172_s_at	hgnc_symbol|CDH11|CDH11
affy_hg_u133a|207173_x_at|207173_x_at	hgnc_symbol|CDH11|CDH11
affy_hg_u133a|200665_s_at|200665_s_at	hgnc_symbol|SPARC|SPARC
affy_hg_u133a|202465_at|202465_at	hgnc_symbol|PCOLCE|PCOLCE
affy_hg_u133a|201185_at|201185_at	hgnc_symbol|PRSS11|PRSS11
affy_hg_u133a|201069_at|201069_at	hgnc_symbol|MMP2|MMP2
affy_hg_u133a|202273_at|202273_at	hgnc_symbol|PDGFRB|PDGFRB
affy_hg_u133a|204114_at|204114_at	hgnc_symbol|NID2|NID2
affy_hg_u133a|201792_at|201792_at	hgnc_symbol|AEBP1|AEBP1
affy_hg_u133a|201744_s_at|201744_s_at	hgnc_symbol|LUM|LUM
affy_hg_u133a|201438_at|201438_at	hgnc_symbol|COL6A3|COL6A3
affy_hg_u133a|202310_s_at|202310_s_at	hgnc_symbol|COL1A1|COL1A1
affy_hg_u133a|202403_s_at|202403_s_at	hgnc_symbol|COL1A2|COL1A2
affy_hg_u133a|202404_s_at|202404_s_at	hgnc_symbol|COL1A2|COL1A2
affy_hg_u133a|201852_x_at|201852_x_at	hgnc_symbol|COL3A1|COL3A1
affy_hg_u133a|215076_s_at|215076_s_at	hgnc_symbol|COL3A1|COL3A1
affy_hg_u133a|211161_s_at|211161_s_at	hgnc_symbol|COL3A1|COL3A1
affy_hg_u133a|221729_at|221729_at	hgnc_symbol|COL5A2|COL5A2
affy_hg_u133a|221730_at|221730_at	hgnc_symbol|COL5A2|COL5A2
affy_hg_u133a|202311_s_at|202311_s_at	hgnc_symbol|COL1A1|COL1A1
affy_hg_u133a|203325_s_at|203325_s_at	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133a|212488_at|212488_at	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133a|212489_at|212489_at	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133a|210809_s_at|210809_s_at	hgnc_symbol|POSTN|POSTN
affy_hg_u133a|212667_at|212667_at	hgnc_symbol|SPARC|SPARC
affy_hg_u133a|209596_at|209596_at	hgnc_symbol|DKFZp564I1922|DKFZp564I1922
affy_hg_u133a|209955_s_at|209955_s_at	hgnc_symbol|FAP|FAP
affy_hg_u133a|201893_x_at|201893_x_at	hgnc_symbol|DCN|DCN
