Curated Gene Symbol	Gene symbol	Gene Description
MEF2A	MEF2A	MEF2A - MADS box transcription enhancer factor 2
NFE2L2	NFE2L2	NFE2L2 - Nuclear factor-like 2
	DC-UbP	DC-UbP – Dendritic cell-derived ubiquitin-like protein
PGM3	PGM3	PGM3 - Phosphoglucomutase 3
DGKH	DGKH	DGKH - Diacylglycerol kinase
PTGS2	PTGS2	PTGS2 - Prostaglandin-endoperoxidase synthase 2
IL8	IL8	IL8 – Interleukin 8
ARRB1	ARRB1	ARRB1 – Arrestin beta 1
BTG3	BTG3	BTG3 – BTG familymember 3
	SOSTM1	SOSTM1 – Sequestosome 1
HLA-DOA	HLA-DOA	HLA-DOA – MHC class II
PTPLAD1	HSPC121	HSPC121 – Butyrate-induced transcript
TADA3	TADA3L	TADA3L – Transcriptional adaptor 3
	MST4	MST4 – Mst3 and SOK1-related kinase
B4GALT5	B4GALT5	B4GALT5 – UDP-Gal:betaGlcNAc bea 1.4-galactosyltransferase
MTHFD2	MTHFD2	MTHFD2 – NAD-dependent methylenetetrahydrofolate deydrogenase
SGTB	SGTB	SGTB – Small glutamine-rich tetratricopeptide repeat
PRKX	PRKX	PRKX – Protein Kinase, X-linked
N4BP1	N4BP1	N4BP1 – Nedd4 binding protein 1
PELI1	PELI1	PELI1 – Pellino homolog 1
MSMO1	SC4MOL	SC4MOL – Sterol-C4-methyl oxidase-like
BAG3	BAG3	BAG3 – BCL2-associated athanogene 3
KCNK10	KCNK10	KCNK10 – Potassium channel, subfamily K, member 10
NAMPT	PBEF1	PBEF1 – Pre-B-cell colony enhancing factor 1
NAMPT	PBEF1	PBEF1 – Pre-B-cell colony enhancing factor 1
