# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
embl|X79067|X79067	hgnc_symbol|BRF1|BRF1
entrezgene|U14971|6203	hgnc_symbol|RPS9|RPS9
entrezgene|U56976|5153	hgnc_symbol|PDE1B|PDE1B
entrezgene|M90813|894	hgnc_symbol|CCND2|CCND2
entrezgene|S75989|6538	hgnc_symbol|SLC6A11|SLC6A11
entrezgene|M29066|1813	hgnc_symbol|DRD2|DRD2
entrezgene|D84476|4217	hgnc_symbol|MAP3K5|MAP3K5
entrezgene|M92424|4193	hgnc_symbol|MDM2|MDM2
entrezgene|M15169|154	hgnc_symbol|ADRB2|ADRB2
entrezgene|M95585|3131	hgnc_symbol|HLF|HLF
entrezgene|D29013|5423	hgnc_symbol|POLB|POLB
entrezgene|J03250|7150	hgnc_symbol|TOP1|TOP1
entrezgene|AF007871|1861	hgnc_symbol|DYT1|DYT1
entrezgene|L20977|491	hgnc_symbol|ATP2B2|ATP2B2
entrezgene|M19156|3858	hgnc_symbol|KRT10|KRT10
entrezgene|D21089|7508	hgnc_symbol|XPC|XPC
entrezgene|X03124|7076	hgnc_symbol|TIMP1|TIMP1
entrezgene|J03202|3915	hgnc_symbol|LAMC1|LAMC1
entrezgene|D43642|6944	hgnc_symbol|YL1|YL1
entrezgene|M34079|5702	hgnc_symbol|TBP1|TBP1
entrezgene|U17032|394	hgnc_symbol|ARHGAP5|ARHGAP5
entrezgene|M24857|5916	hgnc_symbol|RARG|RARG
entrezgene|L20046|2073	hgnc_symbol|XRCC5|XRCC5
entrezgene|X55525|1278	hgnc_symbol|COL1A2|COL1A2
embl|AF006515|AF006515	hgnc_symbol|CHD3|CHD3
entrezgene|D21090|5887	hgnc_symbol|hHR23B|hHR23B
entrezgene|L20471|682	hgnc_symbol|BSG|BSG
entrezgene|M81601|6917	hgnc_symbol|TCF12|TCF12
entrezgene|J02683|292	hgnc_symbol|ANT2|ANT2
entrezgene|M34664|3329	hgnc_symbol|HSP60|HSP60
entrezgene|M77234|6189	hgnc_symbol|RPS3A|RPS3A
entrezgene|Z48482|4324	hgnc_symbol|MMP15|MMP15
entrezgene|X66362|5129	hgnc_symbol|PCTK3|PCTK3
entrezgene|U04810|10024	hgnc_symbol|TROAP|TROAP
entrezgene|J03746|4257	hgnc_symbol|MGST1|MGST1
entrezgene|Z11583|4926	hgnc_symbol|NUMA1|NUMA1
