Gene	Pathway	Survivala	Pb
ALKBH3	BER	low	0.12
APEX1	BER	high	0.1
APEX2	BER	low	<.001
MPG	BER	low	0.08
MUTYH	BER	high	0.09
NTHL1	BER	high	0.15
PARP2	BER	high	0.01
SMUG1	BER	low	0.04
MLH3	MMR	high	0.11
MSH6	MMR	high	0.09
POLE	MMR	high	0.14
POLM	NHEJ	high	0.06
XRCC4	NHEJ	high	0.09
CCNH	OTHER	low	0.14
GTF2H4	OTHER	high	0.1
RECQL	RECQ	low	0.05
DCLRE1B	XLR	low	0.05
